"",BBK01.OELO01G,BBK01.OELO01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:40,
2002-01,36.567,
2002-04,36.039,
2002-07,35.750,
2002-10,35.797,
2003-01,36.695,
2003-04,36.745,
2003-07,36.523,
2003-10,36.464,
2004-01,37.471,
2004-04,37.959,
2004-07,37.920,
2004-10,37.400,
2005-01,38.483,
2005-04,38.699,
2005-07,38.336,
2005-10,38.005,
2006-01,38.600,
2006-04,38.362,
2006-07,37.791,
2006-10,37.218,
2007-01,37.052,
2007-04,35.944,
2007-07,34.677,
2007-10,33.913,
2008-01,33.589,
2008-04,32.265,
2008-07,31.087,
2008-10,30.064,
2009-01,30.820,
2009-04,32.000,
2009-07,32.713,
2009-10,34.195,
2010-01,37.139,
2010-04,39.009,
2010-07,39.253,
2010-10,39.577,
2011-01,40.275,
2011-04,41.235,
2011-07,41.000,
2011-10,40.866,
2012-01,41.025,
2012-04,40.846,
2012-07,40.361,
2012-10,40.770,
2013-01,41.466,
2013-04,41.898,
2013-07,41.700,
2013-10,41.946,
2014-01,42.470,
2014-04,42.714,
2014-07,42.133,
