"",BBK01.OEXB14S,BBK01.OEXB14S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:05,
2002-01,0.044,
2002-04,0.042,
2002-07,0.046,
2002-10,0.045,
2003-01,0.046,
2003-04,0.048,
2003-07,0.047,
2003-10,0.043,
2004-01,0.047,
2004-04,0.035,
2004-07,0.033,
2004-10,0.031,
2005-01,0.032,
2005-04,0.032,
2005-07,0.033,
2005-10,0.030,
2006-01,0.033,
2006-04,0.033,
2006-07,0.035,
2006-10,0.031,
2007-01,0.032,
2007-04,0.034,
2007-07,0.034,
2007-10,0.032,
2008-01,0.032,
2008-04,0.030,
2008-07,0.031,
2008-10,0.031,
2009-01,0.033,
2009-04,0.033,
2009-07,0.033,
2009-10,0.032,
2010-01,0.032,
2010-04,0.033,
2010-07,0.029,
2010-10,0.027,
2011-01,0.029,
2011-04,0.029,
2011-07,0.028,
2011-10,0.026,
2012-01,0.029,
2012-04,0.032,
2012-07,0.032,
2012-10,0.031,
2013-01,0.034,
2013-04,0.030,
2013-07,0.031,
2013-10,0.028,
2014-01,0.028,
2014-04,0.031,
2014-07,0.028,
