"",BBK01.CELF50,BBK01.CELF50_FLAGS
"",long-term loans                                         debtor: OFI                    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:38,
1999-01,1.0,
1999-04,3.1,
1999-07,0.9,
1999-10,2.6,
2000-01,5.5,
2000-04,2.2,
2000-07,2.1,
2000-10,48.1,
2001-01,8.5,
2001-04,3.9,
2001-07,14.4,
2001-10,8.8,
2002-01,2.4,
2002-04,18.6,
2002-07,6.3,
2002-10,12.9,
2003-01,-5.8,
2003-04,3.6,
2003-07,6.5,
2003-10,-15.4,
2004-01,-23.3,
2004-04,4.7,
2004-07,-1.4,
2004-10,-11.9,
2005-01,3.6,
2005-04,3.8,
2005-07,0.9,
2005-10,4.5,
2006-01,7.8,
2006-04,9.7,
2006-07,5.6,
2006-10,2.8,
2007-01,-2.7,
2007-04,0.7,
2007-07,7.9,
2007-10,-5.9,
2008-01,13.3,
2008-04,5.9,
2008-07,10.9,
2008-10,17.0,
2009-01,4.9,
2009-04,4.0,
2009-07,7.4,
2009-10,0.3,
2010-01,12.9,
2010-04,8.5,
2010-07,-0.6,
2010-10,12.7,
2011-01,-0.3,
2011-04,-4.1,
2011-07,3.9,
2011-10,-1.7,
2012-01,5.4,
2012-04,2.2,
2012-07,0.8,
2012-10,-9.5,
2013-01,0.7,
2013-04,-0.7,
2013-07,-1.6,
2013-10,2.3,
2014-01,2.1,
2014-04,1.0,
2014-07,-0.2,
