"",BBK01.SUD124S,BBK01.SUD124S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Loans to non-financial corporations up to EUR 1 million with floating rate or an initial rate fixation up to 1 year,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:40:01,
2000-01,5.4208,Estimated value
2000-02,5.5586,Estimated value
2000-03,5.6760,Estimated value
2000-04,5.8068,Estimated value
2000-05,6.1159,Estimated value
2000-06,6.2665,Estimated value
2000-07,6.4231,Estimated value
2000-08,6.5380,Estimated value
2000-09,6.5919,Estimated value
2000-10,6.6782,Estimated value
2000-11,6.6952,Estimated value
2000-12,6.5326,Estimated value
2001-01,6.3797,Estimated value
2001-02,6.3113,Estimated value
2001-03,6.2086,Estimated value
2001-04,6.2123,Estimated value
2001-05,6.2300,Estimated value
2001-06,6.0958,Estimated value
2001-07,6.0674,Estimated value
2001-08,5.9857,Estimated value
2001-09,5.7895,Estimated value
2001-10,5.4993,Estimated value
2001-11,5.3738,Estimated value
2001-12,5.4074,Estimated value
2002-01,5.4826,Estimated value
2002-02,5.5531,Estimated value
2002-03,5.6611,Estimated value
2002-04,5.7269,Estimated value
2002-05,5.8003,Estimated value
2002-06,5.7248,Estimated value
2002-07,5.6452,Estimated value
2002-08,5.5369,Estimated value
2002-09,5.4159,Estimated value
2002-10,5.3747,Estimated value
2002-11,5.3110,Estimated value
2002-12,5.2287,Estimated value
