"",BBK01.OEBJ03M,BBK01.OEBJ03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:18,
2002-01,2.556,
2002-04,2.547,
2002-07,2.718,
2002-10,2.756,
2003-01,3.448,
2003-04,3.369,
2003-07,3.154,
2003-10,3.204,
2004-01,3.193,
2004-04,3.124,
2004-07,3.560,
2004-10,3.859,
2005-01,3.773,
2005-04,4.035,
2005-07,4.038,
2005-10,3.659,
2006-01,3.721,
2006-04,3.877,
2006-07,3.740,
2006-10,3.453,
2007-01,3.468,
2007-04,3.435,
2007-07,3.822,
2007-10,4.087,
2008-01,4.256,
2008-04,4.807,
2008-07,4.682,
2008-10,7.709,
2009-01,7.273,
2009-04,7.039,
2009-07,6.602,
2009-10,6.101,
2010-01,5.766,
2010-04,5.776,
2010-07,5.313,
2010-10,6.950,
2011-01,6.821,
2011-04,6.548,
2011-07,7.391,
2011-10,8.605,
2012-01,8.532,
2012-04,10.385,
2012-07,10.268,
2012-10,11.228,
2013-01,10.336,
2013-04,11.574,
2013-07,10.640,
2013-10,9.855,
2014-01,9.651,
2014-04,12.654,
2014-07,11.070,
