"",BBK01.OEAA08K,BBK01.OEAA08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:56,
2002-01,1.305,
2002-04,1.223,
2002-07,1.354,
2002-10,1.310,
2003-01,1.197,
2003-04,1.172,
2003-07,1.169,
2003-10,1.206,
2004-01,1.930,
2004-04,1.982,
2004-07,1.845,
2004-10,1.875,
2005-01,1.990,
2005-04,2.072,
2005-07,2.089,
2005-10,2.059,
2006-01,1.942,
2006-04,1.978,
2006-07,1.949,
2006-10,1.916,
2007-01,1.780,
2007-04,1.764,
2007-07,1.742,
2007-10,1.739,
2008-01,1.680,
2008-04,1.702,
2008-07,1.722,
2008-10,1.631,
2009-01,1.649,
2009-04,1.531,
2009-07,1.464,
2009-10,1.499,
2010-01,1.504,
2010-04,1.518,
2010-07,1.544,
2010-10,1.544,
2011-01,1.668,
2011-04,1.781,
2011-07,1.875,
2011-10,2.061,
2012-01,2.049,
2012-04,2.669,
2012-07,2.825,
2012-10,3.246,
2013-01,3.338,
2013-04,3.428,
2013-07,3.451,
2013-10,3.780,
2014-01,3.801,
2014-04,4.157,
2014-07,4.341,
