"",BBSF2.M.1.S.00000.SON01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:20,
2009-09,305,
2009-10,349,
2009-11,357,
2009-12,403,
2010-01,465,
2010-02,466,
2010-03,597,
2010-04,568,
2010-05,604,
2010-06,611,
2010-07,638,
2010-08,633,
2010-09,713,
2010-10,735,
2010-11,730,
2010-12,838,
2011-01,896,
2011-02,934,
2011-03,840,
2011-04,910,
2011-05,809,
2011-06,823,
2011-07,796,
2011-08,906,
2011-09,860,
2011-10,1023,
2011-11,2029,
2011-12,2126,
2012-01,2282,
2012-02,2371,
2012-03,2395,
2012-04,2323,
2012-05,2188,
2012-06,2253,
2012-07,2369,
2012-08,2576,
2012-09,2835,
2012-10,2923,
2012-11,3125,
2012-12,3288,
2013-01,3370,
2013-02,3440,
2013-03,3427,
2013-04,3866,
2013-05,4413,
2013-06,4228,
2013-07,4448,
2013-08,4399,
2013-09,4630,
2013-10,4871,
2013-11,4957,
2013-12,4968,
2014-01,4620,
2014-02,4738,
2014-03,4769,
2014-04,4802,
2014-05,4928,
2014-06,4996,
2014-07,5176,
2014-08,5441,
2014-09,5519,
2014-10,5531,
2014-11,5710,
