"",BBK01.CEHLN0,BBK01.CEHLN0_FLAGS
"",Mutual funds shares debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:40,
1991-01,1.3,
1991-04,1.5,
1991-07,2.9,
1991-10,0.8,
1992-01,4.0,
1992-04,4.1,
1992-07,8.0,
1992-10,15.1,
1993-01,13.1,
1993-04,7.5,
1993-07,4.2,
1993-10,-15.2,
1994-01,2.2,
1994-04,0.1,
1994-07,4.3,
1994-10,4.7,
1995-01,-1.5,
1995-04,0.2,
1995-07,0.0,
1995-10,1.9,
1996-01,1.7,
1996-04,0.6,
1996-07,0.1,
1996-10,-0.2,
1997-01,0.1,
1997-04,0.9,
1997-07,3.2,
1997-10,-0.6,
1998-01,3.1,
1998-04,3.5,
1998-07,1.5,
1998-10,1.0,
1999-01,3.6,
1999-04,2.2,
1999-07,2.6,
1999-10,5.7,
2000-01,14.8,
2000-04,7.2,
2000-07,6.6,
2000-10,4.3,
2001-01,6.2,
2001-04,4.9,
2001-07,3.9,
2001-10,5.2,
2002-01,5.0,
2002-04,1.3,
2002-07,1.5,
2002-10,-0.7,
2003-01,3.3,
2003-04,0.3,
2003-07,-0.3,
2003-10,0.6,
2004-01,7.1,
2004-04,2.9,
2004-07,3.2,
2004-10,-0.3,
2005-01,16.5,
2005-04,8.4,
2005-07,12.7,
2005-10,6.0,
2006-01,13.8,
2006-04,-1.5,
2006-07,14.6,
2006-10,4.2,
2007-01,0.6,
2007-04,2.6,
2007-07,-9.4,
2007-10,-0.8,
2008-01,-4.5,
2008-04,-20.3,
2008-07,-6.9,
2008-10,-7.4,
2009-01,0.8,
2009-04,1.7,
2009-07,9.5,
2009-10,-5.0,
2010-01,5.3,
2010-04,9.1,
2010-07,3.6,
2010-10,-5.2,
2011-01,3.8,
2011-04,10.4,
2011-07,-6.3,
2011-10,-5.6,
2012-01,13.9,
2012-04,-3.4,
2012-07,5.4,
2012-10,8.9,
2013-01,19.0,
2013-04,-4.9,
2013-07,9.0,
2013-10,9.6,
2014-01,8.6,
