"",BBFN1.M.DE.N.1.L.PL.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PL.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Poland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:57,
1994-07,0.276,
1994-08,0.287,
1994-09,0.292,
1994-10,0.301,
1994-11,0.337,
1994-12,0.335,
1995-01,0.322,
1995-02,0.322,
1995-03,0.333,
1995-04,0.327,
1995-05,0.339,
1995-06,0.352,
1995-07,0.358,
1995-08,0.391,
1995-09,0.426,
1995-10,0.408,
1995-11,0.434,
1995-12,0.375,
1996-01,0.389,
1996-02,0.379,
1996-03,0.382,
1996-04,0.401,
1996-05,0.389,
1996-06,0.332,
1996-07,0.367,
1996-08,0.347,
1996-09,0.371,
1996-10,0.374,
1996-11,0.380,
1996-12,0.365,
1997-01,0.353,
1997-02,0.360,
1997-03,0.396,
1997-04,0.413,
1997-05,0.417,
1997-06,0.382,
1997-07,0.390,
1997-08,0.397,
1997-09,0.410,
1997-10,0.451,
1997-11,0.466,
1997-12,0.463,
1998-01,0.481,
1998-02,0.485,
1998-03,0.517,
1998-04,0.523,
1998-05,0.483,
1998-06,0.524,
1998-07,0.507,
1998-08,0.471,
1998-09,0.513,
1998-10,0.519,
1998-11,0.573,
1998-12,0.512,
1999-01,0.536,
1999-02,0.538,
1999-03,0.549,
1999-04,0.571,
1999-05,0.547,
1999-06,0.543,
1999-07,0.556,
1999-08,0.575,
1999-09,0.596,
1999-10,0.634,
1999-11,0.666,
1999-12,0.639,
2000-01,0.628,
2000-02,0.663,
2000-03,0.743,
2000-04,0.699,
2000-05,0.723,
2000-06,0.705,
2000-07,0.686,
2000-08,0.735,
2000-09,0.842,
2000-10,0.869,
2000-11,0.904,
2000-12,0.888,
2001-01,0.883,
2001-02,0.885,
2001-03,0.924,
2001-04,0.828,
2001-05,0.846,
2001-06,0.828,
2001-07,0.844,
2001-08,0.868,
2001-09,0.849,
2001-10,0.849,
2001-11,0.870,
2001-12,0.785,
2002-01,0.812,
2002-02,0.862,
2002-03,0.761,
2002-04,0.788,
2002-05,0.855,
2002-06,0.809,
2002-07,0.781,
2002-08,0.814,
2002-09,0.854,
2002-10,0.855,
2002-11,0.902,
2002-12,0.837,
2003-01,0.834,
2003-02,0.861,
2003-03,0.928,
2003-04,0.963,
2003-05,0.979,
2003-06,0.953,
2003-07,0.901,
2003-08,0.879,
2003-09,0.898,
2003-10,0.949,
2003-11,0.988,
2003-12,0.942,
2004-01,0.985,
2004-02,1.001,
2004-03,1.086,
2004-04,1.079,
2004-05,1.120,
2004-06,1.131,
2004-07,1.144,
2004-08,1.177,
2004-09,1.152,
2004-10,1.229,
2004-11,1.245,
2004-12,1.217,
2005-01,1.193,
2005-02,1.213,
2005-03,1.249,
2005-04,1.180,
2005-05,1.200,
2005-06,1.313,
2005-07,1.157,
2005-08,1.091,
2005-09,1.280,
2005-10,1.143,
2005-11,1.346,
2005-12,1.418,
2006-01,1.468,
2006-02,1.397,
2006-03,1.401,
2006-04,1.383,
2006-05,1.395,
2006-06,1.441,
2006-07,1.405,
2006-08,1.380,
2006-09,1.557,
2006-10,1.605,
2006-11,1.576,
2006-12,1.705,
2007-01,1.749,
2007-02,1.740,
2007-03,1.829,
2007-04,1.789,
2007-05,1.725,
2007-06,1.828,
2007-07,1.849,
2007-08,1.761,
2007-09,1.956,
2007-10,2.051,
2007-11,2.144,
2007-12,2.183,
2008-01,2.245,
2008-02,2.445,
2008-03,2.415,
2008-04,2.704,
2008-05,2.466,
2008-06,2.558,
2008-07,2.570,
2008-08,2.243,
2008-09,2.336,
2008-10,2.407,
2008-11,2.187,
2008-12,2.069,
2009-01,1.816,
2009-02,1.809,
2009-03,1.929,
2009-04,1.733,
2009-05,1.829,
2009-06,1.914,
2009-07,1.959,
2009-08,1.862,
2009-09,2.143,
2009-10,2.139,
2009-11,2.120,
2009-12,2.098,
2010-01,2.109,
2010-02,2.122,
2010-03,2.265,
2010-04,2.031,
2010-05,2.135,
2010-06,2.205,
2010-07,2.187,
2010-08,1.986,
2010-09,2.536,
2010-10,2.579,
2010-11,2.265,
2010-12,2.293,
2011-01,2.328,
2011-02,2.596,
2011-03,2.399,
2011-04,2.648,
2011-05,2.537,
2011-06,2.811,
2011-07,2.747,
2011-08,2.386,
2011-09,2.675,
2011-10,2.463,
2011-11,2.251,
2011-12,2.276,
2012-01,2.275,
2012-02,2.553,
2012-03,2.332,
2012-04,2.528,
2012-05,2.406,
2012-06,2.523,
2012-07,2.438,
2012-08,2.318,
2012-09,2.649,
2012-10,2.650,
2012-11,2.604,
2012-12,2.363,
2013-01,2.456,
2013-02,2.595,
2013-03,2.879,
2013-04,2.589,
2013-05,2.799,
2013-06,2.905,
2013-07,2.806,
2013-08,2.946,
2013-09,3.195,
2013-10,2.952,
2013-11,3.239,
2013-12,2.962,
2014-01,2.841,
2014-02,3.082,
2014-03,3.273,
2014-04,3.321,
2014-05,3.207,
2014-06,3.448,
2014-07,3.580,
2014-08,3.463,
2014-09,3.852,
2014-10,3.980,
2014-11,4.069,
2014-12,3.854,
