"",BBK01.OEHO01O,BBK01.OEHO01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:36,
2002-01,16.420,
2002-04,16.276,
2002-07,16.115,
2002-10,15.998,
2003-01,16.347,
2003-04,16.345,
2003-07,16.290,
2003-10,16.150,
2004-01,16.391,
2004-04,16.300,
2004-07,16.090,
2004-10,15.956,
2005-01,15.692,
2005-04,16.228,
2005-07,16.051,
2005-10,15.903,
2006-01,16.133,
2006-04,16.000,
2006-07,15.802,
2006-10,15.487,
2007-01,15.300,
2007-04,14.599,
2007-07,14.034,
2007-10,13.478,
2008-01,13.115,
2008-04,12.566,
2008-07,12.078,
2008-10,11.591,
2009-01,11.528,
2009-04,12.039,
2009-07,12.819,
2009-10,13.447,
2010-01,14.143,
2010-04,14.531,
2010-07,14.668,
2010-10,14.808,
2011-01,14.957,
2011-04,14.966,
2011-07,14.848,
2011-10,14.650,
2012-01,14.614,
2012-04,14.412,
2012-07,14.249,
2012-10,14.107,
2013-01,14.153,
2013-04,14.146,
2013-07,14.074,
2013-10,13.980,
2014-01,14.146,
2014-04,14.002,
2014-07,13.872,
