"",BBK01.OEAH24R,BBK01.OEAH24R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:41,
2002-01,0.973,
2002-04,0.996,
2002-07,0.987,
2002-10,0.993,
2003-01,0.981,
2003-04,0.978,
2003-07,0.951,
2003-10,0.931,
2004-01,0.925,
2004-04,0.923,
2004-07,0.915,
2004-10,0.900,
2005-01,0.888,
2005-04,0.870,
2005-07,0.855,
2005-10,0.839,
2006-01,0.809,
2006-04,0.805,
2006-07,0.796,
2006-10,0.803,
2007-01,0.806,
2007-04,0.807,
2007-07,0.788,
2007-10,0.767,
2008-01,0.733,
2008-04,0.719,
2008-07,0.696,
2008-10,0.718,
2009-01,0.696,
2009-04,0.674,
2009-07,0.657,
2009-10,0.675,
2010-01,0.713,
2010-04,0.730,
2010-07,0.726,
2010-10,0.703,
2011-01,0.698,
2011-04,0.735,
2011-07,0.745,
2011-10,0.751,
2012-01,0.755,
2012-04,0.746,
2012-07,0.730,
2012-10,0.682,
2013-01,0.653,
2013-04,0.649,
2013-07,0.655,
2013-10,0.673,
2014-01,0.686,
2014-04,0.678,
2014-07,0.889,
