"",BBK01.OEYI06L,BBK01.OEYI06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:09,
2002-01,0.009,
2002-04,0.014,
2002-07,0.014,
2002-10,0.014,
2003-01,0.100,
2003-04,0.100,
2003-07,0.099,
2003-10,0.105,
2004-01,0.109,
2004-04,0.110,
2004-07,0.113,
2004-10,0.104,
2005-01,0.110,
2005-04,0.112,
2005-07,0.078,
2005-10,0.032,
2006-01,0.034,
2006-04,0.038,
2006-07,0.040,
2006-10,0.041,
2007-01,0.042,
2007-04,0.041,
2007-07,0.039,
2007-10,0.036,
2008-01,0.035,
2008-04,0.034,
2008-07,0.034,
2008-10,0.030,
2009-01,0.030,
2009-04,0.032,
2009-07,0.032,
2009-10,0.038,
2010-01,0.048,
2010-04,0.059,
2010-07,0.061,
2010-10,0.064,
2011-01,0.070,
2011-04,0.075,
2011-07,0.078,
2011-10,0.077,
2012-01,0.071,
2012-04,0.069,
2012-07,0.072,
2012-10,0.072,
2013-01,0.064,
2013-04,0.061,
2013-07,0.056,
2013-10,0.051,
2014-01,0.052,
2014-04,0.045,
2014-07,0.043,
