"",BBK01.OEAN02R,BBK01.OEAN02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:12,
2002-01,4.669,
2002-04,4.524,
2002-07,4.635,
2002-10,4.765,
2003-01,4.816,
2003-04,4.732,
2003-07,4.755,
2003-10,4.911,
2004-01,4.990,
2004-04,4.986,
2004-07,4.987,
2004-10,5.129,
2005-01,5.852,
2005-04,5.850,
2005-07,5.789,
2005-10,5.909,
2006-01,5.909,
2006-04,5.914,
2006-07,5.927,
2006-10,5.980,
2007-01,6.042,
2007-04,6.060,
2007-07,6.077,
2007-10,6.203,
2008-01,6.201,
2008-04,6.206,
2008-07,6.174,
2008-10,6.418,
2009-01,6.389,
2009-04,6.314,
2009-07,6.217,
2009-10,6.408,
2010-01,6.333,
2010-04,6.248,
2010-07,6.179,
2010-10,6.609,
2011-01,6.540,
2011-04,6.528,
2011-07,6.501,
2011-10,6.578,
2012-01,6.757,
2012-04,6.744,
2012-07,6.723,
2012-10,6.695,
2013-01,6.590,
2013-04,6.482,
2013-07,6.439,
2013-10,6.499,
2014-01,6.377,
2014-04,6.273,
2014-07,6.286,
