"",BBK01.OEYJ01O,BBK01.OEYJ01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:30,
2002-01,6.049,
2002-04,6.178,
2002-07,6.510,
2002-10,6.830,
2003-01,7.067,
2003-04,7.557,
2003-07,8.119,
2003-10,9.096,
2004-01,9.372,
2004-04,9.530,
2004-07,9.703,
2004-10,9.834,
2005-01,10.695,
2005-04,10.594,
2005-07,10.877,
2005-10,10.901,
2006-01,12.044,
2006-04,12.071,
2006-07,12.286,
2006-10,12.294,
2007-01,12.166,
2007-04,12.686,
2007-07,13.118,
2007-10,13.479,
2008-01,14.461,
2008-04,14.352,
2008-07,9.258,
2008-10,8.895,
2009-01,9.890,
2009-04,9.927,
2009-07,10.392,
2009-10,11.162,
2010-01,11.065,
2010-04,11.313,
2010-07,11.193,
2010-10,11.049,
2011-01,10.705,
2011-04,11.220,
2011-07,11.190,
2011-10,10.909,
2012-01,10.713,
2012-04,10.099,
2012-07,10.397,
2012-10,10.023,
2013-01,9.924,
2013-04,9.752,
2013-07,9.357,
2013-10,9.287,
2014-01,8.855,
2014-04,8.552,
2014-07,8.564,
