"",BBK01.OEHM02L,BBK01.OEHM02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:31,
2002-01,0.463,
2002-04,0.394,
2002-07,0.349,
2002-10,0.681,
2003-01,0.455,
2003-04,0.495,
2003-07,0.485,
2003-10,0.677,
2004-01,0.445,
2004-04,0.408,
2004-07,0.376,
2004-10,0.526,
2005-01,0.359,
2005-04,0.416,
2005-07,0.384,
2005-10,0.583,
2006-01,0.383,
2006-04,0.393,
2006-07,0.450,
2006-10,0.673,
2007-01,0.477,
2007-04,0.508,
2007-07,0.503,
2007-10,0.778,
2008-01,0.517,
2008-04,0.537,
2008-07,0.577,
2008-10,0.858,
2009-01,0.758,
2009-04,0.724,
2009-07,0.825,
2009-10,1.001,
2010-01,0.802,
2010-04,0.831,
2010-07,0.784,
2010-10,0.810,
2011-01,0.698,
2011-04,0.571,
2011-07,0.576,
2011-10,0.882,
2012-01,0.647,
2012-04,0.920,
2012-07,0.960,
2012-10,1.225,
2013-01,0.794,
2013-04,1.006,
2013-07,0.807,
2013-10,1.162,
2014-01,0.818,
2014-04,1.014,
2014-07,0.930,
