"",BBK01.CEFU0C,BBK01.CEFU0C_FLAGS
"",short-term savings deposits                   debtor: Total           creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:23,
1999-01,2.6,
1999-04,2.8,
1999-07,2.7,
1999-10,2.4,
2000-01,2.4,
2000-04,2.1,
2000-07,2.0,
2000-10,2.0,
2001-01,1.8,
2001-04,1.8,
2001-07,1.7,
2001-10,1.8,
2002-01,1.6,
2002-04,1.6,
2002-07,1.6,
2002-10,1.7,
2003-01,1.7,
2003-04,1.6,
2003-07,1.7,
2003-10,1.6,
2004-01,1.8,
2004-04,1.8,
2004-07,2.0,
2004-10,2.2,
2005-01,2.0,
2005-04,2.3,
2005-07,2.7,
2005-10,2.0,
2006-01,1.9,
2006-04,1.9,
2006-07,1.9,
2006-10,1.6,
2007-01,1.6,
2007-04,1.3,
2007-07,1.1,
2007-10,1.0,
2008-01,1.0,
2008-04,0.9,
2008-07,0.8,
2008-10,0.9,
2009-01,1.2,
2009-04,1.3,
2009-07,1.6,
2009-10,1.8,
2010-01,1.8,
2010-04,2.1,
2010-07,2.2,
2010-10,2.3,
2011-01,2.4,
2011-04,2.2,
2011-07,2.1,
2011-10,2.0,
2012-01,1.9,
2012-04,2.2,
2012-07,2.4,
2012-10,2.6,
2013-01,2.7,
2013-04,2.9,
2013-07,3.0,
2013-10,2.9,
2014-01,2.8,
2014-04,2.8,
2014-07,2.8,
