"",BBK01.CEHPQ2,BBK01.CEHPQ2_FLAGS
"",Time deposits (consolidated) debtor: All sectors                   creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:52,
1991-01,13.8,
1991-04,-15.4,
1991-07,-5.3,
1991-10,22.4,
1992-01,-3.8,
1992-04,-15.9,
1992-07,-1.6,
1992-10,19.1,
1993-01,14.1,
1993-04,8.7,
1993-07,13.3,
1993-10,41.9,
1994-01,-13.9,
1994-04,-9.0,
1994-07,12.1,
1994-10,28.0,
1995-01,8.2,
1995-04,24.7,
1995-07,13.1,
1995-10,7.9,
1996-01,13.9,
1996-04,8.0,
1996-07,-1.2,
1996-10,23.7,
1997-01,16.7,
1997-04,3.7,
1997-07,5.4,
1997-10,31.4,
1998-01,6.5,
1998-04,10.6,
1998-07,2.4,
1998-10,46.1,
1999-01,-27.4,
1999-04,-4.3,
1999-07,28.6,
1999-10,21.4,
2000-01,7.8,
2000-04,1.3,
2000-07,32.5,
2000-10,15.4,
2001-01,18.9,
2001-04,-11.8,
2001-07,38.7,
2001-10,32.3,
2002-01,12.4,
2002-04,22.6,
2002-07,47.8,
2002-10,25.1,
2003-01,50.2,
2003-04,45.1,
2003-07,-12.7,
2003-10,28.3,
2004-01,15.4,
2004-04,28.5,
2004-07,4.8,
2004-10,102.4,
2005-01,17.7,
2005-04,16.3,
2005-07,45.1,
2005-10,7.9,
2006-01,57.6,
2006-04,46.4,
2006-07,19.4,
2006-10,24.4,
2007-01,36.6,
2007-04,52.2,
2007-07,59.6,
2007-10,75.5,
2008-01,26.9,
2008-04,3.2,
2008-07,66.3,
2008-10,-22.7,
2009-01,-37.1,
2009-04,-13.2,
2009-07,-63.7,
2009-10,39.0,
2010-01,-57.9,
2010-04,21.1,
2010-07,-33.3,
2010-10,-75.6,
2011-01,-47.0,
2011-04,37.9,
2011-07,46.8,
2011-10,-36.9,
2012-01,-43.5,
2012-04,-6.9,
2012-07,-19.6,
2012-10,-63.6,
2013-01,15.0,
2013-04,21.2,
2013-07,-92.5,
2013-10,-0.9,
2014-01,53.7,
