"",BBK01.OEAF12N,BBK01.OEAF12N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:43,
2002-01,10.507,
2002-04,10.332,
2002-07,10.881,
2002-10,11.331,
2003-01,10.656,
2003-04,10.746,
2003-07,10.791,
2003-10,10.464,
2004-01,9.549,
2004-04,9.537,
2004-07,9.736,
2004-10,9.475,
2005-01,9.726,
2005-04,9.637,
2005-07,9.404,
2005-10,10.387,
2006-01,9.841,
2006-04,9.885,
2006-07,10.034,
2006-10,9.803,
2007-01,9.640,
2007-04,9.755,
2007-07,9.618,
2007-10,9.622,
2008-01,9.388,
2008-04,9.371,
2008-07,9.568,
2008-10,9.616,
2009-01,9.931,
2009-04,9.738,
2009-07,9.493,
2009-10,8.976,
2010-01,8.601,
2010-04,8.705,
2010-07,8.592,
2010-10,8.079,
2011-01,8.064,
2011-04,8.236,
2011-07,8.292,
2011-10,8.439,
2012-01,8.419,
2012-04,8.323,
2012-07,8.476,
2012-10,8.186,
2013-01,7.865,
2013-04,7.693,
2013-07,7.837,
2013-10,7.396,
2014-01,7.547,
2014-04,7.054,
2014-07,6.964,
