"",BBK01.OEAH86T,BBK01.OEAH86T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:07,
2002-01,0.014,
2002-04,0.013,
2002-07,0.016,
2002-10,0.013,
2003-01,0.028,
2003-04,0.012,
2003-07,0.018,
2003-10,0.015,
2004-01,0.012,
2004-04,0.021,
2004-07,0.018,
2004-10,0.013,
2005-01,0.020,
2005-04,0.030,
2005-07,0.115,
2005-10,0.013,
2006-01,0.051,
2006-04,0.246,
2006-07,0.048,
2006-10,0.044,
2007-01,0.227,
2007-04,0.098,
2007-07,0.040,
2007-10,0.018,
2008-01,0.073,
2008-04,0.061,
2008-07,0.031,
2008-10,0.092,
2009-01,0.058,
2009-04,0.121,
2009-07,0.225,
2009-10,0.291,
2010-01,0.323,
2010-04,0.088,
2010-07,0.074,
2010-10,0.057,
2011-01,0.045,
2011-04,0.040,
2011-07,0.048,
2011-10,0.043,
2012-01,0.042,
2012-04,0.047,
2012-07,0.057,
2012-10,0.060,
2013-01,0.056,
2013-04,0.076,
2013-07,0.062,
2013-10,0.063,
2014-01,0.058,
2014-04,0.060,
2014-07,0.060,
