"",BBK01.OELO02Q,BBK01.OELO02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:06,
2002-01,0.382,
2002-04,0.528,
2002-07,0.611,
2002-10,0.520,
2003-01,0.555,
2003-04,0.512,
2003-07,0.518,
2003-10,0.518,
2004-01,0.510,
2004-04,0.395,
2004-07,0.411,
2004-10,0.511,
2005-01,0.508,
2005-04,0.420,
2005-07,0.395,
2005-10,0.436,
2006-01,0.503,
2006-04,0.431,
2006-07,0.418,
2006-10,0.462,
2007-01,0.528,
2007-04,0.422,
2007-07,0.429,
2007-10,0.446,
2008-01,0.463,
2008-04,0.379,
2008-07,0.384,
2008-10,0.568,
2009-01,0.639,
2009-04,0.552,
2009-07,0.587,
2009-10,0.779,
2010-01,0.692,
2010-04,0.544,
2010-07,0.406,
2010-10,0.475,
2011-01,0.473,
2011-04,0.431,
2011-07,0.449,
2011-10,0.480,
2012-01,0.545,
2012-04,0.447,
2012-07,0.511,
2012-10,0.525,
2013-01,0.547,
2013-04,0.502,
2013-07,0.417,
2013-10,0.490,
2014-01,0.469,
2014-04,0.448,
2014-07,0.442,
