"",BBEX3.M.NOK.USD.CA.AB.A01,BBEX3.M.NOK.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Norway / USD 1 = NOK ... (selling),
unit,NOK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:47,
1989-01,6.7440,
1989-02,6.7160,
1989-03,6.8850,
1989-04,6.8250,
1989-05,7.1920,
1989-06,7.1530,
1989-07,6.8710,
1989-08,7.1410,
1989-09,6.9040,
1989-10,6.9090,
1989-11,6.8420,
1989-12,6.6260,
1990-01,6.5000,
1990-02,6.5290,
1990-03,6.5700,
1990-04,6.5430,
1990-05,6.5020,
1990-06,6.4320,
1990-07,6.1970,
1990-08,6.0700,
1990-09,6.0760,
1990-10,5.9190,
1990-11,5.8870,
1990-12,5.9185,
1991-01,5.8330,
1991-02,5.9520,
1991-03,6.5590,
1991-04,6.7560,
1991-05,6.7310,
1991-06,7.0790,
1991-07,6.8320,
1991-08,6.8130,
1991-09,6.5180,
1991-10,6.5810,
1991-11,6.4310,
1991-12,5.9840,
1992-01,6.3395,
1992-02,6.4402,
1992-03,6.4572,
1992-04,6.4880,
1992-05,6.2855,
1992-06,5.9840,
1992-07,5.8275,
1992-08,5.5930,
1992-09,5.7320,
1992-10,6.2645,
1992-11,6.5635,
1992-12,6.9355,comment
1993-01,6.7970,
1993-02,7.0140,
1993-03,6.8805,
1993-04,6.7015,
1993-05,6.8130,
1993-06,7.1570,
1993-07,7.4715,
1993-08,7.2715,
1993-09,7.0775,
1993-10,7.3320,
1993-11,7.4455,
1993-12,7.5290,
1994-01,7.4950,
1994-02,7.4440,
1994-03,7.3115,
1994-04,7.2280,
1994-05,7.1290,
1994-06,6.9745,
1994-07,6.9560,
1994-08,6.9420,
1994-09,6.7855,
1994-10,6.5805,
1994-11,6.8515,
1994-12,6.7730,
1995-01,6.6165,
1995-02,6.4950,
1995-03,6.1935,
1995-04,6.2095,
1995-05,6.1905,
1995-06,6.1825,
1995-07,6.1340,
1995-08,6.4270,
1995-09,6.2530,
1995-10,6.2525,
1995-11,6.3400,
1995-12,6.3300,
1996-01,6.5395,
1996-02,6.4015,
1996-03,6.4200,
1996-04,6.5760,
1996-05,6.5720,
1996-06,6.5115,
1996-07,6.3750,
1996-08,6.4235,
1996-09,6.5185,
1996-10,6.3955,
1996-11,6.4125,
1996-12,6.4535,
1997-01,6.5165,
1997-02,6.7530,
1997-03,6.6745,
1997-04,7.1190,
1997-05,7.1000,
1997-06,7.3035,
1997-07,7.6175,
1997-08,7.4130,
1997-09,7.1160,
1997-10,7.0285,
1997-11,7.2080,
1997-12,7.3267,
1998-01,7.6170,
1998-02,7.5645,
1998-03,7.6295,
1998-04,7.4580,
1998-05,7.5650,
1998-06,7.6803,
1998-07,7.5600,
1998-08,7.8976,
1998-09,7.3889,
1998-10,7.3633,
1998-11,7.5527,
1998-12,7.6106,
1999-01,7.5105,
1999-02,7.9310,
1999-03,7.8010,
1999-04,7.7995,
1999-05,7.8850,
1999-06,7.8555,
1999-07,7.8145,
1999-08,7.8935,
1999-09,7.7715,
1999-10,7.8339,
1999-11,8.0764,
1999-12,8.0470,
2000-01,8.2615,
2000-02,8.3575,
2000-03,8.4480,
2000-04,8.9497,
2000-05,8.9473,
2000-06,8.5850,
2000-07,8.8681,
2000-08,9.0587,
2000-09,9.1113,
2000-10,9.4040,
2000-11,9.3573,
2000-12,8.9055,
2001-01,8.8115,
2001-02,8.9535,
2001-03,9.1267,
2001-04,9.1045,
2001-05,9.2947,
2001-06,9.3331,
2001-07,9.1299,
2001-08,8.8008,
2001-09,8.8587,
2001-10,8.8375,
2001-11,8.9829,
2001-12,9.0243,
2002-01,9.1024,
2002-02,8.9199,
2002-03,8.8182,
2002-04,8.4076,
2002-05,7.9804,
2002-06,7.4923,
2002-07,7.5911,
2002-08,7.5093,
2002-09,7.4770,
2002-10,7.4798,
2002-11,7.3416,
2002-12,6.9669,
2003-01,6.8932,
2003-02,7.2339,
2003-03,7.2965,
2003-04,7.0505,
2003-05,6.6476,
2003-06,7.2272,
2003-07,7.2143,
2003-08,7.6138,
2003-09,7.0277,
2003-10,7.0679,
2003-11,6.8558,
2003-12,6.6929,
2004-01,7.0995,
2004-02,7.0359,
2004-03,6.8716,
2004-04,6.8639,
2004-05,6.7146,
2004-06,6.9589,
2004-07,7.0188,
2004-08,6.9561,
2004-09,6.7964,
2004-10,6.4011,
2004-11,6.1414,
2004-12,6.0551,
2005-01,6.3572,
2005-02,6.2333,
2005-03,6.3460,
2005-04,6.2920,
2005-05,6.4592,
2005-06,6.5541,
2005-07,6.5295,
2005-08,6.4714,
2005-09,6.5365,
2005-10,6.4816,
2005-11,6.7655,
2005-12,6.7722,
2006-01,6.7254,
2006-02,6.7865,
2006-03,6.5705,
2006-04,6.2074,
2006-05,6.0733,
2006-06,6.2423,
2006-07,6.1885,
2006-08,6.3080,
2006-09,6.4905,
2006-10,6.5783,
2006-11,6.2286,
2006-12,6.2799,
2007-01,6.3052,
2007-02,6.1532,
2007-03,6.0975,
2007-04,5.9888,
2007-05,6.0720,
2007-06,5.9185,
2007-07,5.8400,
2007-08,5.8248,
2007-09,5.4536,
2007-10,5.3588,
2007-11,5.5184,
2007-12,5.4152,
2008-01,5.4405,
2008-02,5.1871,
2008-03,5.1190,
2008-04,5.1479,
2008-05,5.0990,
2008-06,5.0656,
2008-07,5.1436,
2008-08,5.3860,
2008-09,5.8065,
2008-10,6.7354,
2008-11,6.9205,
2008-12,7.0101,
2009-01,6.9255,
2009-02,6.9892,
2009-03,6.7767,
2009-04,6.5494,
2009-05,6.4125,
2009-06,6.3984,
2009-07,6.2027,
2009-08,6.0555,
2009-09,5.8306,
2009-10,5.6672,
2009-11,5.6454,
2009-12,5.7681,
2010-01,5.8958,
2010-02,5.9521,
2010-03,5.9885,
2010-04,5.9058,
2010-05,6.4708,
2010-06,6.4805,
2010-07,6.0840,
2010-08,6.3510,
2010-09,5.8727,
2010-10,5.9530,
2010-11,6.1656,
2010-12,5.8597,
2011-01,5.8202,
2011-02,5.6433,
2011-03,5.5741,
2011-04,5.2583,
2011-05,5.3995,
2011-06,5.3787,
2011-07,5.4291,
2011-08,5.3697,
2011-09,5.8563,
2011-10,5.4763,
2011-11,5.8867,
2011-12,6.0175,
2012-01,5.8253,
2012-02,5.5671,
2012-03,5.7173,
2012-04,5.7287,
2012-05,6.0869,
2012-06,6.0042,
2012-07,6.0551,
2012-08,5.8285,
2012-09,5.7193,
2012-10,5.7431,
2012-11,5.6773,
2012-12,5.6037,
2013-01,5.4958,
2013-02,5.7106,
2013-03,5.8456,
2013-04,5.8394,
2013-05,5.8555,
2013-06,6.0417,
2013-07,5.9645,
2013-08,6.1101,
2013-09,6.0175,
2013-10,5.9218,
2013-11,6.1083,
2013-12,6.0965,
2014-01,6.2677,
2014-02,6.0522,
2014-03,6.0263,
2014-04,6.0164,
2014-05,5.9794,
2014-06,6.1433,
2014-07,6.2822,
2014-08,6.2084,
2014-09,6.4564,
2014-10,6.7186,
2014-11,6.9890,
2014-12,7.4499,
2015-01,7.8367,
"","Source: Since December 2003 DNB, Oslo (formerly: DnB NOR) 1991 - November 2003 Den norske Bank, Oslo 1989 - 1990 Den norske Creditbank, Oslo",
"","Comment on 1992-12: On 10 December 1992, the Norwegian central bank decided to abandon the unilateral pegging of the Norwegian krone to the ECU and allow the krone to float. On the basis of the exchange rates on 9 and 11 December 1992, the krone depreciated by 6.5% against the US dollar (middle rate). No exchange rate data are available for 10 December 1992.",
