"",BBK01.WZ3412,BBK01.WZ3412_FLAGS
"","Yields, derived from the term structure of interest rates, on listed Federal securities with annual coupon payments / residual maturity of 13.0 years / end of month",
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:35,
1986-06,6.13,
1986-07,6.09,
1986-08,5.91,
1986-09,6.29,
1986-10,6.54,
1986-11,6.20,
1986-12,6.23,
1987-01,6.17,
1987-02,6.33,
1987-03,5.99,
1987-04,5.98,
1987-05,6.01,
1987-06,6.47,
1987-07,6.66,
1987-08,6.81,
1987-09,7.12,
1987-10,6.75,
1987-11,6.64,
1987-12,6.80,
1988-01,6.92,
1988-02,6.60,
1988-03,6.64,
1988-04,6.87,
1988-05,7.05,
1988-06,7.02,
1988-07,7.15,
1988-08,7.09,
1988-09,6.83,
1988-10,6.58,
1988-11,6.75,
1988-12,6.77,
1989-01,6.84,
1989-02,7.06,
1989-03,7.06,
1989-04,6.92,
1989-05,7.08,
1989-06,6.86,
1989-07,6.68,
1989-08,6.88,
1989-09,7.03,
1989-10,7.16,
1989-11,7.39,
1989-12,7.35,
1990-01,7.81,
1990-02,8.67,
1990-03,8.45,
1990-04,8.91,
1990-05,8.79,
1990-06,8.71,
1990-07,8.54,
1990-08,8.97,
1990-09,9.13,
1990-10,8.95,
1990-11,8.77,
1990-12,9.09,
1991-01,8.54,
1991-02,8.26,
1991-03,8.39,
1991-04,8.21,
1991-05,8.16,
1991-06,8.37,
1991-07,8.58,
1991-08,8.29,
1991-09,8.25,
1991-10,8.19,
1991-11,8.08,
1991-12,7.90,
1992-01,7.68,
1992-02,7.67,
1992-03,7.72,
1992-04,7.88,
1992-05,7.85,
1992-06,7.95,
1992-07,7.98,
1992-08,7.87,
1992-09,7.43,
1992-10,7.24,
1992-11,7.17,
1992-12,7.08,
1993-01,6.98,
1993-02,6.73,
1993-03,6.79,
1993-04,6.84,
1993-05,6.91,
1993-06,6.75,
1993-07,6.60,
1993-08,6.28,
1993-09,6.28,
1993-10,6.07,
1993-11,6.06,
1993-12,5.92,
1994-01,5.98,
1994-02,6.53,
1994-03,6.70,
1994-04,6.98,
1994-05,7.27,
1994-06,7.26,
1994-07,7.23,
1994-08,7.50,
1994-09,7.76,
1994-10,7.74,
1994-11,7.57,
1994-12,7.77,
1995-01,7.58,
1995-02,7.48,
1995-03,7.44,
1995-04,7.29,
