"",BBFB1.Q.N.DE.DK.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:15,
1991-01,22.468,
1991-04,14.259,
1991-07,16.401,
1991-10,14.394,
1992-01,20.162,
1992-04,15.352,
1992-07,18.250,
1992-10,14.938,
1993-01,19.841,
1993-04,15.777,
1993-07,18.599,
1993-10,16.244,
1994-01,20.235,
1994-04,15.845,
1994-07,18.511,
1994-10,17.408,
1995-01,19.504,
1995-04,17.747,
1995-07,23.874,
1995-10,19.762,
1996-01,20.554,
1996-04,17.445,
1996-07,18.969,
1996-10,21.170,
1997-01,23.055,
1997-04,23.820,
1997-07,21.562,
1997-10,27.018,
1998-01,32.836,
1998-04,21.393,
1998-07,28.437,
1998-10,23.354,
1999-01,28.618,
1999-04,26.374,
1999-07,26.203,
1999-10,26.070,
2000-01,21.701,
2000-04,22.407,
2000-07,21.705,
2000-10,24.249,
2001-01,25.097,
2001-04,22.974,
2001-07,23.028,
2001-10,23.394,
2002-01,27.682,
2002-04,24.722,
2002-07,34.102,
2002-10,49.085,
2003-01,29.318,
2003-04,25.147,
2003-07,25.444,
2003-10,22.216,
2004-01,25.957,
2004-04,29.211,
2004-07,32.928,
2004-10,29.492,
2005-01,50.036,
2005-04,75.063,
2005-07,105.130,
2005-10,120.571,
2006-01,125.054,
2006-04,107.753,
2006-07,145.174,
2006-10,31.948,
2007-01,33.557,
2007-04,27.639,
2007-07,28.767,
2007-10,172.570,
2008-01,107.028,
2008-04,121.803,
2008-07,142.439,
2008-10,167.903,
2009-01,66.419,
2009-04,76.086,
2009-07,154.214,
2009-10,87.458,
2010-01,44.882,
2010-04,39.583,
2010-07,46.083,
2010-10,37.453,
2011-01,145.554,
2011-04,90.340,
2011-07,114.165,
2011-10,70.992,
2012-01,124.038,
2012-04,102.229,
2012-07,94.980,
2012-10,112.856,
2013-01,101.698,
2013-04,78.646,
2013-07,90.705,
2013-10,62.809,
2014-01,62.171,Provisional value
2014-04,65.072,Provisional value
2014-07,70.838,Provisional value
