"",BBK01.OEXO01P,BBK01.OEXO01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:48,
2002-01,0.316,
2002-04,0.310,
2002-07,0.305,
2002-10,0.301,
2003-01,0.304,
2003-04,0.307,
2003-07,0.319,
2003-10,0.333,
2004-01,0.331,
2004-04,0.318,
2004-07,0.310,
2004-10,0.293,
2005-01,0.307,
2005-04,0.321,
2005-07,0.328,
2005-10,0.343,
2006-01,0.367,
2006-04,0.363,
2006-07,0.361,
2006-10,0.344,
2007-01,0.334,
2007-04,0.375,
2007-07,0.395,
2007-10,0.423,
2008-01,0.464,
2008-04,0.485,
2008-07,0.477,
2008-10,0.473,
2009-01,0.566,
2009-04,0.558,
2009-07,0.544,
2009-10,0.566,
2010-01,0.536,
2010-04,0.507,
2010-07,0.502,
2010-10,0.500,
2011-01,0.566,
2011-04,0.560,
2011-07,0.542,
2011-10,0.537,
2012-01,0.531,
2012-04,0.507,
2012-07,0.496,
2012-10,0.485,
2013-01,0.460,
2013-04,0.424,
2013-07,0.401,
2013-10,0.394,
2014-01,0.388,
2014-04,0.371,
2014-07,0.361,
