"",BBFB1.Q.N.DE.1A.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:57,
1991-01,462.384,
1991-04,200.948,
1991-07,409.592,
1991-10,242.262,
1992-01,608.584,
1992-04,275.875,
1992-07,406.578,
1992-10,255.453,
1993-01,447.049,
1993-04,289.933,
1993-07,388.034,
1993-10,552.925,
1994-01,573.642,
1994-04,226.812,
1994-07,442.146,
1994-10,432.077,
1995-01,471.238,
1995-04,239.236,
1995-07,245.986,
1995-10,739.383,
1996-01,658.700,
1996-04,207.127,
1996-07,479.815,
1996-10,298.000,
1997-01,489.370,
1997-04,233.579,
1997-07,443.026,
1997-10,407.105,
1998-01,580.043,
1998-04,200.320,
1998-07,430.176,
1998-10,290.461,
1999-01,546.281,
1999-04,236.814,
1999-07,464.504,
1999-10,414.890,
2000-01,533.328,
2000-04,292.093,
2000-07,470.680,
2000-10,482.602,
2001-01,534.183,
2001-04,439.830,
2001-07,580.867,
2001-10,203.234,
2002-01,727.877,
2002-04,281.743,
2002-07,664.070,
2002-10,261.917,
2003-01,695.085,
2003-04,610.946,
2003-07,273.378,
2003-10,222.648,
2004-01,673.097,
2004-04,335.030,
2004-07,319.520,
2004-10,362.077,
2005-01,573.509,
2005-04,489.043,
2005-07,348.329,
2005-10,282.935,
2006-01,549.171,
2006-04,391.881,
2006-07,250.450,
2006-10,514.433,
2007-01,695.210,
2007-04,475.438,
2007-07,354.226,
2007-10,494.736,
2008-01,710.932,
2008-04,574.978,
2008-07,457.371,
2008-10,517.252,
2009-01,911.920,
2009-04,545.520,
2009-07,567.155,
2009-10,617.599,
2010-01,1160.463,
2010-04,690.856,
2010-07,856.161,
2010-10,904.048,
2011-01,1105.337,
2011-04,685.475,
2011-07,748.476,
2011-10,864.963,
2012-01,1169.903,
2012-04,1034.683,
2012-07,547.064,
2012-10,811.930,
2013-01,1408.885,
2013-04,804.649,
2013-07,733.301,
2013-10,693.619,
2014-01,1122.740,Provisional value
2014-04,697.385,Provisional value
2014-07,767.292,Provisional value
