"",BBK01.OEYL03O,BBK01.OEYL03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:10,
2002-01,5.497,
2002-04,5.536,
2002-07,5.663,
2002-10,5.992,
2003-01,6.276,
2003-04,6.372,
2003-07,6.523,
2003-10,6.827,
2004-01,7.185,
2004-04,7.261,
2004-07,7.424,
2004-10,7.857,
2005-01,8.155,
2005-04,8.288,
2005-07,8.473,
2005-10,8.697,
2006-01,8.837,
2006-04,8.894,
2006-07,8.963,
2006-10,9.130,
2007-01,9.128,
2007-04,9.011,
2007-07,8.950,
2007-10,9.221,
2008-01,9.422,
2008-04,9.442,
2008-07,9.295,
2008-10,9.424,
2009-01,9.571,
2009-04,9.489,
2009-07,9.534,
2009-10,9.764,
2010-01,10.021,
2010-04,9.864,
2010-07,9.791,
2010-10,9.854,
2011-01,9.814,
2011-04,9.711,
2011-07,9.687,
2011-10,9.855,
2012-01,10.000,
2012-04,10.035,
2012-07,10.083,
2012-10,10.255,
2013-01,10.216,
2013-04,10.095,
2013-07,10.074,
2013-10,10.173,
2014-01,10.175,
2014-04,10.106,
2014-07,10.153,
