"",BBK01.OEXB05T,BBK01.OEXB05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:11,
2002-01,4.485,
2002-04,4.521,
2002-07,4.661,
2002-10,4.802,
2003-01,4.817,
2003-04,4.842,
2003-07,4.890,
2003-10,4.992,
2004-01,4.983,
2004-04,4.969,
2004-07,5.005,
2004-10,4.785,
2005-01,4.780,
2005-04,4.762,
2005-07,4.803,
2005-10,4.787,
2006-01,4.837,
2006-04,4.877,
2006-07,4.864,
2006-10,4.961,
2007-01,4.990,
2007-04,5.068,
2007-07,5.157,
2007-10,5.160,
2008-01,5.113,
2008-04,5.106,
2008-07,5.165,
2008-10,5.205,
2009-01,5.240,
2009-04,5.292,
2009-07,5.367,
2009-10,5.535,
2010-01,5.561,
2010-04,5.579,
2010-07,5.656,
2010-10,5.746,
2011-01,5.801,
2011-04,5.882,
2011-07,6.117,
2011-10,6.259,
2012-01,6.354,
2012-04,6.526,
2012-07,6.667,
2012-10,6.762,
2013-01,6.823,
2013-04,6.799,
2013-07,6.884,
2013-10,6.892,
2014-01,6.896,
2014-04,6.892,
2014-07,6.936,
