"",BBK01.OEAE20R,BBK01.OEAE20R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:40,
2002-01,0.042,
2002-04,0.037,
2002-07,0.047,
2002-10,0.044,
2003-01,0.046,
2003-04,0.066,
2003-07,0.061,
2003-10,0.060,
2004-01,0.066,
2004-04,0.065,
2004-07,0.063,
2004-10,0.065,
2005-01,0.060,
2005-04,0.058,
2005-07,0.057,
2005-10,0.052,
2006-01,0.034,
2006-04,0.035,
2006-07,0.036,
2006-10,0.036,
2007-01,0.035,
2007-04,0.040,
2007-07,0.036,
2007-10,0.014,
2008-01,0.016,
2008-04,0.012,
2008-07,0.012,
2008-10,0.011,
2009-01,0.019,
2009-04,0.015,
2009-07,0.016,
2009-10,0.018,
2010-01,0.016,
2010-04,0.016,
2010-07,0.015,
2010-10,0.016,
2011-01,0.027,
2011-04,0.027,
2011-07,0.027,
2011-10,0.026,
2012-01,0.031,
2012-04,0.033,
2012-07,0.035,
2012-10,0.034,
2013-01,0.044,
2013-04,0.040,
2013-07,0.056,
2013-10,0.056,
2014-01,0.064,
2014-04,0.059,
2014-07,0.055,
