"",BBSF2.M.1.T.00000.AKT01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Equity funds / Net asset value,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:23,
2009-09,146093,
2009-10,142895,
2009-11,142727,
2009-12,150157,
2010-01,144425,
2010-02,145752,
2010-03,155355,
2010-04,155147,
2010-05,154846,
2010-06,148430,
2010-07,151878,
2010-08,149514,
2010-09,153055,
2010-10,157815,
2010-11,160566,
2010-12,168699,
2011-01,167980,
2011-02,171359,
2011-03,167985,
2011-04,171910,
2011-05,172771,
2011-06,169402,
2011-07,170320,
2011-08,151087,
2011-09,144100,
2011-10,153507,
2011-11,149752,
2011-12,152890,
2012-01,160962,
2012-02,165757,
2012-03,165616,
2012-04,156806,
2012-05,153142,
2012-06,155509,
2012-07,162584,
2012-08,164342,
2012-09,166849,
2012-10,167074,
2012-11,169355,
2012-12,173694,
2013-01,177650,
2013-02,180008,
2013-03,185145,
2013-04,186844,
2013-05,190589,
2013-06,183285,
2013-07,190378,
2013-08,188170,
2013-09,194478,
2013-10,202090,
2013-11,206391,
2013-12,205882,
2014-01,201031,
2014-02,208444,
2014-03,207388,
2014-04,212790,
2014-05,219987,
2014-06,220121,
2014-07,218282,
2014-08,224022,
2014-09,221585,
2014-10,211822,
2014-11,221566,
