"",BBSF2.M.1.S.I0015.AKT01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.AKT01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Number / Private non-profit institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:58,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,12,
1993-05,13,
1993-06,13,
1993-07,13,
1993-08,13,
1993-09,11,
1993-10,11,
1993-11,12,
1993-12,12,
1994-01,12,
1994-02,12,
1994-03,13,
1994-04,13,
1994-05,13,
1994-06,13,
1994-07,14,
1994-08,14,
1994-09,14,
1994-10,14,
1994-11,14,
1994-12,14,
1995-01,14,
1995-02,14,
1995-03,14,
1995-04,14,
1995-05,14,
1995-06,14,
1995-07,15,
1995-08,15,
1995-09,15,
1995-10,15,
1995-11,15,
1995-12,15,
1996-01,15,
1996-02,15,
1996-03,15,
1996-04,15,
1996-05,15,
1996-06,16,
1996-07,16,
1996-08,16,
1996-09,16,
1996-10,16,
1996-11,16,
1996-12,15,
1997-01,15,
1997-02,15,
1997-03,15,
1997-04,15,
1997-05,16,
1997-06,16,
1997-07,17,
1997-08,17,
1997-09,17,
1997-10,17,
1997-11,15,
1997-12,15,
1998-01,15,
1998-02,16,
1998-03,16,
1998-04,17,
1998-05,17,
1998-06,18,
1998-07,18,
1998-08,18,
1998-09,18,
1998-10,18,
1998-11,18,
1998-12,19,
1999-01,20,
1999-02,20,
1999-03,20,
1999-04,20,
1999-05,20,
1999-06,20,
1999-07,20,
1999-08,16,
1999-09,16,
1999-10,16,
1999-11,16,
1999-12,16,
2000-01,16,
2000-02,15,
2000-03,15,
2000-04,15,
2000-05,15,
2000-06,15,
2000-07,15,
2000-08,15,
2000-09,16,
2000-10,16,
2000-11,15,
2000-12,15,
2001-01,15,
2001-02,15,
2001-03,16,
2001-04,15,
2001-05,15,
2001-06,17,
2001-07,16,
2001-08,16,
2001-09,16,
2001-10,16,
2001-11,16,
2001-12,17,
2002-01,17,
2002-02,17,
2002-03,17,
2002-04,17,
2002-05,17,
2002-06,17,
2002-07,17,
2002-08,17,
2002-09,17,
2002-10,17,
2002-11,17,
2002-12,16,
2003-01,16,
2003-02,16,
2003-03,16,
2003-04,16,
2003-05,16,
2003-06,15,
2003-07,14,
2003-08,13,
2003-09,14,
2003-10,14,
2003-11,15,
2003-12,16,
2004-01,16,
2004-02,16,
2004-03,18,
2004-04,17,
2004-05,17,
2004-06,15,
2004-07,15,
2004-08,15,
2004-09,15,
2004-10,15,
2004-11,13,
2004-12,13,
2005-01,13,
2005-02,13,
2005-03,12,
2005-04,13,
2005-05,13,
2005-06,15,
2005-07,14,
2005-08,14,
2005-09,14,
2005-10,15,
2005-11,15,
2005-12,15,
2006-01,15,
2006-02,16,
2006-03,16,
2006-04,17,
2006-05,16,
2006-06,16,
2006-07,16,
2006-08,16,
2006-09,16,
2006-10,16,
2006-11,16,
2006-12,16,
2007-01,17,
2007-02,17,
2007-03,17,
2007-04,17,
2007-05,17,
2007-06,17,
2007-07,16,
2007-08,16,
2007-09,15,
2007-10,15,
2007-11,15,
2007-12,15,
2008-01,14,
2008-02,12,
2008-03,12,
2008-04,12,
2008-05,12,
2008-06,12,
2008-07,11,
2008-08,11,
2008-09,11,
2008-10,11,
2008-11,13,
2008-12,13,
2009-01,13,
2009-02,13,
2009-03,13,
2009-04,13,
2009-05,11,
2009-06,10,
2009-07,11,
2009-08,10,
2009-09,13,
2009-10,13,
2009-11,13,
2009-12,13,
2010-01,12,
2010-02,12,
2010-03,12,
2010-04,11,
2010-05,11,
2010-06,10,
2010-07,10,
2010-08,9,
2010-09,9,
2010-10,9,
2010-11,9,
2010-12,9,
2011-01,9,
2011-02,9,
2011-03,9,
2011-04,9,
2011-05,9,
2011-06,8,
2011-07,8,
2011-08,8,
2011-09,8,
2011-10,8,
2011-11,8,
2011-12,8,
2012-01,8,
2012-02,8,
2012-03,8,
2012-04,8,
2012-05,8,
2012-06,8,
2012-07,8,
2012-08,8,
2012-09,8,
2012-10,8,
2012-11,8,
2012-12,8,
2013-01,9,
2013-02,9,
2013-03,9,
2013-04,9,
2013-05,11,
2013-06,11,
2013-07,11,
2013-08,12,
2013-09,13,
2013-10,13,
2013-11,12,
2013-12,12,
2014-01,12,
2014-02,12,
2014-03,12,
2014-04,12,
2014-05,12,
2014-06,12,
2014-07,12,
2014-08,12,
2014-09,13,
2014-10,13,
2014-11,12,
