"",BBEX3.M.WST.USD.CM.AA.A01,BBEX3.M.WST.USD.CM.AA.A01_FLAGS
"",Exchange rates for the US dollar in Samoa  / WST 1 = USD ... (buying),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:13,
1990-01,0.4413,
1990-02,0.4357,
1990-03,0.4294,
1990-04,0.4255,
1990-05,0.4294,
1990-06,0.4337,
1990-07,0.4352,
1990-08,0.4423,
1990-09,0.4461,
1990-10,0.4490,
1990-11,0.4390,
1990-12,0.4331,
1991-01,0.4388,
1991-02,0.4309,
1991-03,0.4258,
1991-04,0.4278,
1991-05,0.4238,
1991-06,0.4226,
1991-07,0.4233,
1991-08,0.4249,
1991-09,0.4202,
1991-10,0.4162,
1991-11,0.4185,
1991-12,0.4131,
1992-01,0.4160,
1992-02,0.4167,
1992-03,0.4169,
1992-04,0.4131,
1992-05,0.4106,
1992-06,0.4137,
1992-07,0.4138,
1992-08,0.4118,
1992-09,0.4076,
1992-10,0.4003,
1992-11,0.3945,
1992-12,0.3955,
1993-01,0.3954,
1993-02,0.3962,
1993-03,0.4012,
1993-04,0.4008,
1993-05,0.3962,
1993-06,0.3931,
1993-07,0.3950,
1993-08,0.3907,
1993-09,0.3879,
1993-10,0.3900,
1993-11,0.3862,
1993-12,0.3880,
1994-01,0.3936,
1994-02,0.3975,
1994-03,0.3903,
1994-04,0.3959,
1994-05,0.4005,
1994-06,0.4029,
1994-07,0.3990,
1994-08,0.3997,
1994-09,0.3993,
1994-10,0.4045,
1994-11,0.4082,
1994-12,0.4117,
1995-01,0.4099,
1995-02,0.4093,
1995-03,0.4136,
1995-04,0.4182,
1995-05,0.4153,
1995-06,0.4158,
1995-07,0.4123,
1995-08,0.4029,
1995-09,0.4040,
1995-10,0.4039,
1995-11,0.4006,
1995-12,0.4002,
1996-01,0.4036,
1996-02,0.4056,
1996-03,0.4123,
1996-04,0.4142,
1996-05,0.4120,
1996-06,0.4123,
1996-07,0.4144,
1996-08,0.4139,
1996-09,0.4153,
1996-10,0.4161,
1996-11,0.4188,
1996-12,0.4153,
1997-01,0.4067,
1997-02,0.4092,
1997-03,0.4091,
1997-04,0.4065,
1997-05,0.4073,
1997-06,0.3993,
1997-07,0.3907,
1997-08,0.3866,
1997-09,0.3874,
1997-10,0.3817,
1997-11,0.3765,
1997-12,0.3660,
1998-01,0.3703,
1998-02,0.3694,
1998-03,0.3512,
1998-04,0.3502,
1998-05,0.3409,
1998-06,0.3359,
1998-07,0.3320,
1998-08,0.3244,
1998-09,0.3301,
1998-10,0.3383,
1998-11,0.3360,
1998-12,0.3367,
1999-01,0.3406,
1999-02,0.3344,
1999-03,0.3391,
1999-04,0.3418,
1999-05,0.3346,
1999-06,0.3357,
1999-07,0.3351,
1999-08,0.3316,
1999-09,0.3330,
1999-10,0.3301,
1999-11,0.3310,
1999-12,0.3358,
2000-01,0.3255,
2000-02,0.3221,
2000-03,0.3239,
2000-04,0.3177,
2000-05,0.3104,
2000-06,0.3159,
2000-07,0.3100,
2000-08,0.3038,
2000-09,0.2953,
2000-10,0.2904,
2000-11,0.2931,
2000-12,0.3038,
2001-01,0.3027,
2001-02,0.2971,
2001-03,0.2854,
2001-04,0.2906,
2001-05,0.2895,
2001-06,0.2887,
2001-07,0.2897,
2001-08,0.2990,
2001-09,0.2877,
2001-10,0.2855,
2001-11,0.2882,
2001-12,0.2861,
2002-01,0.2854,
2002-02,0.2874,
2002-03,0.2934,
2002-04,0.2962,
2002-05,0.3067,
2002-06,0.3089,
2002-07,0.3022,
2002-08,0.3035,
2002-09,0.3028,
2002-10,0.3071,
2002-11,0.3100,
2002-12,0.3154,
2003-01,0.3227,
2003-02,0.3279,
2003-03,0.3266,
2003-04,0.3306,
2003-05,0.3383,
2003-06,0.3412,
2003-07,0.3379,
2003-08,0.3343,
2003-09,0.3438,
2003-10,0.3501,
2003-11,0.3568,
2003-12,0.3645,
2004-01,0.3690,
2004-02,0.3733,
2004-03,0.3669,
2004-04,0.3561,
2004-05,0.3561,
2004-06,0.3558,
2004-07,0.3551,
2004-08,0.3594,
2004-09,0.3658,
2004-10,0.3687,
2004-11,0.3777,
2004-12,0.3741,
2005-01,0.3765,
2005-02,0.3807,
2005-03,0.3766,
2005-04,0.3803,
2005-05,0.3764,
2005-06,0.3754,
2005-07,0.3733,
2005-08,0.3738,
2005-09,0.3760,
2005-10,0.3752,
2005-11,0.3741,
2005-12,0.3703,
2006-01,0.3732,
2006-02,0.3683,
2006-03,0.3580,
2006-04,0.3658,
2006-05,0.3683,
2006-06,0.3605,
2006-07,0.3651,
2006-08,0.3699,
2006-09,0.3684,
2006-10,0.3741,
2006-11,0.3779,
2006-12,0.3809,
2007-01,0.3768,
2007-02,0.3810,
2007-03,0.3846,
2007-04,0.3917,
2007-05,0.3894,
2007-06,0.3961,
2007-07,0.3971,
2007-08,0.3834,
2007-09,0.3986,
2007-10,0.4053,
2007-11,0.3994,
2007-12,0.3994,
2008-01,0.4053,
2008-02,0.4116,
2008-03,0.4075,
2008-04,0.4094,
2008-05,0.4106,
2008-06,0.4070,
2008-07,0.4008,
2008-08,0.3869,
2008-09,0.3748,
2008-10,0.3483,
2008-11,0.3412,
2008-12,0.3528,
2009-01,0.3324,
2009-02,0.3321,
2009-03,0.3449,
2009-04,0.3527,
2009-05,0.3781,
2009-06,0.3806,
2009-07,0.3882,
2009-08,0.3935,
2009-09,0.4065,
2009-10,0.4088,
2009-11,0.4100,
2009-12,0.4082,
2010-01,0.4035,
2010-02,0.4038,
2010-03,0.4088,
2010-04,0.4134,
2010-05,0.3925,
2010-06,0.3930,
2010-07,0.4105,
2010-08,0.4021,
2010-09,0.4205,
2010-10,0.4282,
2010-11,0.4214,
2010-12,0.4365,
2011-01,0.4319,
2011-02,0.4305,
2011-03,0.4349,
2011-04,0.4517,
2011-05,0.4507,
2011-06,0.4524,
2011-07,0.4657,
2011-08,0.4565,
2011-09,0.4274,
2011-10,0.4472,
2011-11,0.4366,
2011-12,0.4331,
2012-01,0.4481,
2012-02,0.4538,
2012-03,0.4464,
2012-04,0.4481,
2012-05,0.4292,
2012-06,0.4378,
2012-07,0.4452,
2012-08,0.4420,
2012-09,0.4493,
2012-10,0.4469,
2012-11,0.4476,
2012-12,0.4469,
2013-01,0.4553,
2013-02,0.4461,
2013-03,0.4461,
2013-04,0.4534,
2013-05,0.4391,
2013-06,0.4306,
2013-07,0.4321,
2013-08,0.4271,
2013-09,0.4400,
2013-10,0.4413,
2013-11,0.4354,
2013-12,0.4351,comment
"","Source: January 2002 -  December 2013 ANZ Bank (Samoa) Ltd, Apia January 1990 - December 2001 Bank of Western Samoa, Apia",
"","Comment on 2013-12: Thereafter, only middle rates have been available; see BBEX3:M:WST:USD:CM:AC:A01.",
