"",BBK01.OECJ01Q,BBK01.OECJ01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:14,
2002-01,1.009,
2002-04,0.932,
2002-07,0.943,
2002-10,1.182,
2003-01,1.169,
2003-04,1.117,
2003-07,2.066,
2003-10,1.222,
2004-01,1.107,
2004-04,1.117,
2004-07,1.121,
2004-10,1.755,
2005-01,1.732,
2005-04,1.669,
2005-07,1.956,
2005-10,1.823,
2006-01,1.549,
2006-04,1.673,
2006-07,1.643,
2006-10,1.827,
2007-01,1.661,
2007-04,1.794,
2007-07,1.616,
2007-10,1.973,
2008-01,1.848,
2008-04,1.855,
2008-07,1.842,
2008-10,1.950,
2009-01,2.005,
2009-04,2.095,
2009-07,2.225,
2009-10,2.436,
2010-01,2.268,
2010-04,2.225,
2010-07,2.158,
2010-10,2.315,
2011-01,2.160,
2011-04,2.013,
2011-07,1.978,
2011-10,2.160,
2012-01,2.243,
2012-04,2.121,
2012-07,2.183,
2012-10,2.412,
2013-01,2.270,
2013-04,2.264,
2013-07,2.201,
2013-10,2.392,
2014-01,2.367,
2014-04,2.332,
2014-07,2.401,
