"",BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:02,
1991-01,-7.327,
1991-04,-7.327,
1991-07,-7.327,
1991-10,-15.508,
1992-01,-0.512,
1992-04,-0.512,
1992-07,-0.512,
1992-10,-4.498,
1993-01,6.151,
1993-04,-1.325,
1993-07,0.025,
1993-10,6.151,
1994-01,4.560,
1994-04,-4.628,
1994-07,4.560,
1994-10,4.560,
1995-01,3.944,
1995-04,3.944,
1995-07,3.944,
1995-10,3.944,
1996-01,3.066,
1996-04,3.066,
1996-07,3.066,
1996-10,3.066,
1997-01,-73.626,
1997-04,-73.626,
1997-07,-73.626,
1997-10,-73.626,
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-36.000,
1999-04,-38.000,
1999-07,-36.000,
1999-10,-36.000,
2000-01,15.000,
2000-04,15.000,
2000-07,18.000,
2000-10,15.000,
2001-01,-9.332,
2001-04,-71.715,
2001-07,3.273,
2001-10,-12.332,
2002-01,-0.148,
2002-04,18.409,
2002-07,16.617,
2002-10,32.509,
2003-01,4.573,
2003-04,-22.294,
2003-07,16.515,
2003-10,19.133,
2004-01,118.221,
2004-04,64.832,
2004-07,85.353,
2004-10,119.465,
2005-01,159.657,
2005-04,163.222,
2005-07,138.405,
2005-10,94.715,
2006-01,141.635,
2006-04,130.978,
2006-07,96.690,
2006-10,96.707,
2007-01,90.189,
2007-04,66.915,
2007-07,70.396,
2007-10,-67.396,
2008-01,-111.612,
2008-04,-146.389,
2008-07,-245.077,
2008-10,-139.658,
2009-01,113.740,
2009-04,33.133,
2009-07,136.951,
2009-10,69.176,
2010-01,25.515,
2010-04,2.701,
2010-07,199.339,
2010-10,57.429,
2011-01,28.674,
2011-04,62.649,
2011-07,91.218,
2011-10,44.189,
2012-01,41.240,
2012-04,86.366,
2012-07,103.783,
2012-10,106.316,
2013-01,71.266,
2013-04,63.266,
2013-07,162.254,
2013-10,150.883,
2014-01,72.266,Provisional value
2014-04,81.143,Provisional value
2014-07,207.266,Provisional value
2014-10,131.955,Provisional value
