"",BBK01.OEHK03N,BBK01.OEHK03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:38,
2002-01,3.249,
2002-04,3.153,
2002-07,3.184,
2002-10,3.176,
2003-01,3.207,
2003-04,3.126,
2003-07,2.978,
2003-10,2.976,
2004-01,2.930,
2004-04,2.763,
2004-07,2.622,
2004-10,2.549,
2005-01,2.547,
2005-04,2.448,
2005-07,2.408,
2005-10,2.490,
2006-01,2.556,
2006-04,2.619,
2006-07,2.773,
2006-10,2.852,
2007-01,3.137,
2007-04,3.354,
2007-07,3.793,
2007-10,4.056,
2008-01,4.098,
2008-04,4.317,
2008-07,4.564,
2008-10,4.952,
2009-01,3.725,
2009-04,3.074,
2009-07,2.452,
2009-10,2.070,
2010-01,1.955,
2010-04,1.706,
2010-07,1.705,
2010-10,1.784,
2011-01,1.913,
2011-04,2.061,
2011-07,2.301,
2011-10,2.149,
2012-01,1.986,
2012-04,1.770,
2012-07,1.633,
2012-10,1.501,
2013-01,1.538,
2013-04,1.415,
2013-07,1.287,
2013-10,1.275,
2014-01,1.243,
2014-04,1.265,
2014-07,1.213,
