"",BBFB1.Q.N.DE.ES.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:48,
1999-01,1328.805,
1999-04,2079.762,
1999-07,2470.588,
1999-10,1954.506,
2000-01,1402.714,
2000-04,2191.844,
2000-07,2605.093,
2000-10,2059.848,
2001-01,1310.663,
2001-04,2051.250,
2001-07,2436.786,
2001-10,1927.255,
2002-01,1567.751,
2002-04,1928.307,
2002-07,2239.228,
2002-10,1627.144,
2003-01,1252.437,
2003-04,1860.262,
2003-07,2494.966,
2003-10,1675.531,
2004-01,1269.782,
2004-04,1705.893,
2004-07,2230.289,
2004-10,1768.382,
2005-01,1370.543,
2005-04,1898.208,
2005-07,2341.288,
2005-10,1513.998,
2006-01,1256.160,
2006-04,2127.857,
2006-07,2281.332,
2006-10,1444.475,
2007-01,1363.656,
2007-04,1891.681,
2007-07,2505.749,
2007-10,1485.045,
2008-01,1139.877,
2008-04,2129.769,
2008-07,2494.194,
2008-10,1367.012,
2009-01,1154.412,
2009-04,1629.846,
2009-07,2223.093,
2009-10,1362.145,
2010-01,1029.058,
2010-04,1678.633,
2010-07,2241.846,
2010-10,1406.758,
2011-01,961.120,
2011-04,1803.371,
2011-07,2534.976,
2011-10,1471.446,
2012-01,1057.387,
2012-04,1814.431,
2012-07,2362.352,
2012-10,1380.372,
2013-01,1087.009,
2013-04,1908.441,
2013-07,2673.853,
2013-10,1943.602,
2014-01,1161.196,Provisional value
2014-04,2090.458,Provisional value
2014-07,2843.093,Provisional value
2014-10,1946.314,Provisional value
