"",BBFB1.Q.N.DE.BE.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:58,
1991-01,41.940,
1991-04,38.712,
1991-07,51.918,
1991-10,41.740,
1992-01,41.560,
1992-04,41.723,
1992-07,41.333,
1992-10,41.662,
1993-01,46.460,
1993-04,44.599,
1993-07,39.860,
1993-10,43.253,
1994-01,48.061,
1994-04,41.594,
1994-07,42.028,
1994-10,48.910,
1995-01,45.696,
1995-04,39.526,
1995-07,47.307,
1995-10,43.202,
1996-01,45.762,
1996-04,43.854,
1996-07,46.365,
1996-10,45.395,
1997-01,56.615,
1997-04,50.505,
1997-07,60.544,
1997-10,53.256,
1998-01,50.508,
1998-04,57.407,
1998-07,73.361,
1998-10,53.105,
1999-01,63.366,
1999-04,65.493,
1999-07,68.187,
1999-10,66.293,
2000-01,72.661,
2000-04,70.538,
2000-07,93.689,
2000-10,66.514,
2001-01,92.158,
2001-04,83.969,
2001-07,65.803,
2001-10,78.080,
2002-01,87.431,
2002-04,78.674,
2002-07,71.896,
2002-10,85.047,
2003-01,66.023,
2003-04,86.403,
2003-07,65.016,
2003-10,58.865,
2004-01,88.183,
2004-04,83.324,
2004-07,82.222,
2004-10,63.969,
2005-01,100.379,
2005-04,122.501,
2005-07,89.605,
2005-10,73.682,
2006-01,87.262,
2006-04,95.102,
2006-07,83.149,
2006-10,74.466,
2007-01,66.659,
2007-04,503.820,
2007-07,80.259,
2007-10,418.700,
2008-01,87.997,
2008-04,135.015,
2008-07,108.514,
2008-10,76.658,
2009-01,110.145,
2009-04,82.883,
2009-07,94.453,
2009-10,80.255,
2010-01,86.347,
2010-04,112.858,
2010-07,110.183,
2010-10,451.592,
2011-01,106.964,
2011-04,106.835,
2011-07,88.640,
2011-10,75.522,
2012-01,118.530,
2012-04,113.645,
2012-07,143.034,
2012-10,84.147,
2013-01,109.411,
2013-04,116.034,
2013-07,85.660,
2013-10,98.764,
2014-01,83.181,Provisional value
2014-04,100.828,Provisional value
2014-07,106.627,Provisional value
