"",BBFN1.M.DE.N.1.L.U2.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:09,
1995-01,26.876,
1995-02,26.989,
1995-03,28.282,
1995-04,27.703,
1995-05,28.637,
1995-06,27.767,
1995-07,27.405,
1995-08,27.830,
1995-09,29.154,
1995-10,28.969,
1995-11,30.097,
1995-12,29.348,
1996-01,28.972,
1996-02,31.832,
1996-03,30.458,
1996-04,30.065,
1996-05,29.845,
1996-06,30.229,
1996-07,28.327,
1996-08,28.967,
1996-09,31.068,
1996-10,30.603,
1996-11,33.090,
1996-12,33.979,
1997-01,29.809,
1997-02,32.174,
1997-03,33.872,
1997-04,33.520,
1997-05,34.949,
1997-06,36.173,
1997-07,36.218,
1997-08,35.516,
1997-09,36.432,
1997-10,37.988,
1997-11,37.720,
1997-12,40.631,
1998-01,40.778,
1998-02,40.237,
1998-03,42.545,
1998-04,41.675,
1998-05,41.572,
1998-06,38.722,
1998-07,39.713,
1998-08,39.254,
1998-09,40.155,
1998-10,40.555,
1998-11,41.663,
1998-12,39.316,
1999-01,40.876,
1999-02,41.732,
1999-03,43.664,
1999-04,45.130,
1999-05,45.522,
1999-06,49.013,
1999-07,49.980,
1999-08,52.354,
1999-09,51.046,
1999-10,53.148,
1999-11,52.300,
1999-12,66.873,
2000-01,66.619,
2000-02,68.441,
2000-03,69.559,
2000-04,67.129,
2000-05,64.484,
2000-06,69.883,
2000-07,66.259,
2000-08,79.311,
2000-09,97.138,
2000-10,99.845,
2000-11,97.828,
2000-12,98.596,
2001-01,98.298,
2001-02,96.644,
2001-03,98.300,
2001-04,100.262,
2001-05,99.694,
2001-06,106.465,
2001-07,106.491,
2001-08,106.912,
2001-09,109.637,
2001-10,107.716,
2001-11,107.446,
2001-12,109.950,
2002-01,104.189,
2002-02,109.279,
2002-03,109.780,
2002-04,108.610,
2002-05,109.665,
2002-06,110.721,
2002-07,109.392,
2002-08,108.893,
2002-09,110.729,
2002-10,110.305,
2002-11,109.768,
2002-12,104.240,
2003-01,106.678,
2003-02,106.275,
2003-03,103.578,
2003-04,103.508,
2003-05,108.047,
2003-06,108.748,
2003-07,110.714,
2003-08,109.958,
2003-09,107.531,
2003-10,107.275,
2003-11,111.687,
2003-12,110.857,
2004-01,116.582,
2004-02,113.033,
2004-03,120.735,
2004-04,117.267,
2004-05,116.118,
2004-06,114.814,
2004-07,117.302,
2004-08,115.728,
2004-09,112.020,
2004-10,108.866,
2004-11,110.013,
2004-12,104.603,
2005-01,104.017,
2005-02,103.204,
2005-03,104.733,
2005-04,104.298,
2005-05,105.558,
2005-06,107.000,
2005-07,105.392,
2005-08,106.404,
2005-09,107.175,
2005-10,111.122,
2005-11,110.675,
2005-12,116.090,
2006-01,113.414,
2006-02,119.270,
2006-03,117.043,
2006-04,115.408,
2006-05,125.166,
2006-06,125.248,
2006-07,124.883,
2006-08,130.215,
2006-09,139.246,
2006-10,136.847,
2006-11,137.524,
2006-12,136.533,
2007-01,147.347,
2007-02,151.122,
2007-03,150.208,
2007-04,149.803,
2007-05,149.471,
2007-06,152.698,
2007-07,154.108,
2007-08,148.542,
2007-09,148.429,
2007-10,140.294,
2007-11,140.729,
2007-12,131.274,
2008-01,137.647,
2008-02,140.365,
2008-03,136.749,
2008-04,141.632,
2008-05,139.354,
2008-06,139.050,
2008-07,136.986,
2008-08,134.496,
2008-09,136.860,
2008-10,134.254,
2008-11,135.805,
2008-12,140.758,
2009-01,140.342,
2009-02,140.968,
2009-03,142.410,
2009-04,144.459,
2009-05,143.187,
2009-06,144.631,
2009-07,139.124,
2009-08,137.539,
2009-09,140.476,
2009-10,142.893,
2009-11,141.236,
2009-12,149.976,
2010-01,144.948,
2010-02,145.527,
2010-03,141.649,
2010-04,142.017,
2010-05,146.778,
2010-06,149.797,
2010-07,149.891,
2010-08,158.606,
2010-09,164.715,
2010-10,157.482,
2010-11,163.381,
2010-12,162.376,
2011-01,165.127,
2011-02,163.035,
2011-03,158.233,
2011-04,163.702,
2011-05,168.086,
2011-06,178.071,
2011-07,190.119,
2011-08,190.923,
2011-09,202.710,
2011-10,185.759,
2011-11,190.463,
2011-12,186.742,
2012-01,196.010,
2012-02,194.070,
2012-03,197.863,
2012-04,199.007,
2012-05,205.713,
2012-06,207.455,
2012-07,201.963,
2012-08,194.260,
2012-09,207.488,
2012-10,208.872,
2012-11,211.952,
2012-12,210.647,
2013-01,210.969,
2013-02,208.441,
2013-03,222.378,
2013-04,231.786,
2013-05,236.596,
2013-06,241.581,
2013-07,237.707,
2013-08,231.686,
2013-09,231.883,
2013-10,222.734,
2013-11,225.709,
2013-12,209.693,
2014-01,217.680,
2014-02,219.358,
2014-03,218.335,
2014-04,224.374,
2014-05,222.756,
2014-06,231.474,
2014-07,235.955,
2014-08,230.411,
2014-09,217.086,
2014-10,210.771,
2014-11,217.531,
2014-12,195.720,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
