"",BBK01.OELB10G,BBK01.OELB10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:15,
2002-01,4.673,
2002-04,4.670,
2002-07,4.473,
2002-10,4.225,
2003-01,4.241,
2003-04,4.154,
2003-07,4.022,
2003-10,3.746,
2004-01,3.742,
2004-04,3.636,
2004-07,3.441,
2004-10,2.990,
2005-01,3.156,
2005-04,3.055,
2005-07,2.975,
2005-10,2.815,
2006-01,2.900,
2006-04,3.010,
2006-07,2.986,
2006-10,2.973,
2007-01,3.076,
2007-04,3.160,
2007-07,3.197,
2007-10,3.294,
2008-01,3.465,
2008-04,3.299,
2008-07,3.322,
2008-10,3.241,
2009-01,3.352,
2009-04,3.282,
2009-07,3.175,
2009-10,2.911,
2010-01,2.971,
2010-04,3.027,
2010-07,2.869,
2010-10,2.746,
2011-01,2.896,
2011-04,2.960,
2011-07,2.884,
2011-10,2.712,
2012-01,2.929,
2012-04,3.069,
2012-07,3.104,
2012-10,3.015,
2013-01,3.144,
2013-04,3.098,
2013-07,3.016,
2013-10,2.895,
2014-01,3.072,
2014-04,3.150,
2014-07,3.107,
