"",BBK01.OEAE30L,BBK01.OEAE30L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:15,
2002-01,3.861,
2002-04,3.785,
2002-07,4.188,
2002-10,4.708,
2003-01,4.507,
2003-04,4.510,
2003-07,4.768,
2003-10,4.438,
2004-01,4.545,
2004-04,4.219,
2004-07,4.343,
2004-10,4.352,
2005-01,4.226,
2005-04,4.070,
2005-07,3.643,
2005-10,3.551,
2006-01,3.113,
2006-04,2.802,
2006-07,3.129,
2006-10,3.188,
2007-01,3.767,
2007-04,3.819,
2007-07,3.870,
2007-10,4.181,
2008-01,3.536,
2008-04,3.526,
2008-07,4.627,
2008-10,4.647,
2009-01,4.749,
2009-04,4.779,
2009-07,4.422,
2009-10,4.262,
2010-01,3.989,
2010-04,3.905,
2010-07,3.889,
2010-10,3.632,
2011-01,3.665,
2011-04,3.434,
2011-07,3.418,
2011-10,3.384,
2012-01,3.373,
2012-04,3.878,
2012-07,3.613,
2012-10,3.502,
2013-01,3.426,
2013-04,3.419,
2013-07,3.111,
2013-10,3.108,
2014-01,3.050,
2014-04,3.503,
2014-07,3.654,
