"",BBK01.OEXL06L,BBK01.OEXL06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:21,
2002-01,0.722,
2002-04,0.698,
2002-07,0.721,
2002-10,0.801,
2003-01,0.790,
2003-04,0.788,
2003-07,0.782,
2003-10,0.801,
2004-01,0.973,
2004-04,1.265,
2004-07,1.240,
2004-10,1.246,
2005-01,1.191,
2005-04,1.176,
2005-07,1.171,
2005-10,1.183,
2006-01,1.185,
2006-04,1.208,
2006-07,1.347,
2006-10,1.493,
2007-01,1.625,
2007-04,1.630,
2007-07,1.576,
2007-10,1.546,
2008-01,1.484,
2008-04,1.492,
2008-07,1.727,
2008-10,1.905,
2009-01,1.720,
2009-04,1.644,
2009-07,1.532,
2009-10,1.380,
2010-01,1.425,
2010-04,1.602,
2010-07,1.566,
2010-10,1.658,
2011-01,1.736,
2011-04,1.887,
2011-07,1.969,
2011-10,2.315,
2012-01,2.374,
2012-04,2.550,
2012-07,2.756,
2012-10,2.961,
2013-01,3.009,
2013-04,2.982,
2013-07,2.983,
2013-10,3.129,
2014-01,3.278,
2014-04,3.410,
2014-07,3.561,
