"",BBK01.OEAC06H,BBK01.OEAC06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:05,
2002-01,6.815,
2002-04,6.831,
2002-07,6.946,
2002-10,6.770,
2003-01,6.758,
2003-04,6.849,
2003-07,6.942,
2003-10,6.843,
2004-01,6.791,
2004-04,6.920,
2004-07,7.096,
2004-10,6.941,
2005-01,6.671,
2005-04,6.766,
2005-07,6.927,
2005-10,6.813,
2006-01,6.828,
2006-04,6.879,
2006-07,6.969,
2006-10,6.822,
2007-01,6.751,
2007-04,6.789,
2007-07,6.807,
2007-10,6.689,
2008-01,6.674,
2008-04,6.781,
2008-07,6.937,
2008-10,6.845,
2009-01,6.822,
2009-04,6.940,
2009-07,7.238,
2009-10,7.413,
2010-01,7.509,
2010-04,7.998,
2010-07,8.166,
2010-10,8.050,
2011-01,7.986,
2011-04,8.168,
2011-07,8.323,
2011-10,8.263,
2012-01,8.235,
2012-04,8.377,
2012-07,8.446,
2012-10,8.305,
2013-01,8.256,
2013-04,8.360,
2013-07,8.484,
2013-10,8.409,
2014-01,8.362,
2014-04,8.531,
2014-07,8.640,
