"",BBK01.OEBB11S,BBK01.OEBB11S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:42,
2002-01,0.099,
2002-04,0.091,
2002-07,0.095,
2002-10,0.080,
2003-01,0.077,
2003-04,0.076,
2003-07,0.077,
2003-10,0.076,
2004-01,0.077,
2004-04,0.075,
2004-07,0.074,
2004-10,0.072,
2005-01,0.070,
2005-04,0.077,
2005-07,0.072,
2005-10,0.070,
2006-01,0.068,
2006-04,0.074,
2006-07,0.072,
2006-10,0.075,
2007-01,0.079,
2007-04,0.081,
2007-07,0.083,
2007-10,0.060,
2008-01,0.069,
2008-04,0.068,
2008-07,0.061,
2008-10,0.059,
2009-01,0.058,
2009-04,0.055,
2009-07,0.059,
2009-10,0.081,
2010-01,0.088,
2010-04,0.088,
2010-07,0.073,
2010-10,0.089,
2011-01,0.087,
2011-04,0.069,
2011-07,0.073,
2011-10,0.069,
2012-01,0.072,
2012-04,0.074,
2012-07,0.073,
2012-10,0.068,
2013-01,0.075,
2013-04,0.089,
2013-07,0.087,
2013-10,0.085,
2014-01,0.084,
2014-04,0.087,
2014-07,0.095,
