"",BBK01.OEHB11Q,BBK01.OEHB11Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:49,
2002-01,0.464,
2002-04,0.482,
2002-07,0.471,
2002-10,0.517,
2003-01,0.533,
2003-04,0.503,
2003-07,0.549,
2003-10,0.551,
2004-01,0.529,
2004-04,0.559,
2004-07,0.566,
2004-10,0.613,
2005-01,0.599,
2005-04,0.647,
2005-07,0.647,
2005-10,0.567,
2006-01,0.600,
2006-04,0.564,
2006-07,0.558,
2006-10,0.556,
2007-01,0.577,
2007-04,0.581,
2007-07,0.579,
2007-10,0.581,
2008-01,0.586,
2008-04,0.596,
2008-07,0.587,
2008-10,0.573,
2009-01,0.571,
2009-04,0.597,
2009-07,0.607,
2009-10,0.548,
2010-01,0.521,
2010-04,0.484,
2010-07,0.635,
2010-10,0.621,
2011-01,0.632,
2011-04,0.590,
2011-07,0.558,
2011-10,0.575,
2012-01,0.561,
2012-04,0.571,
2012-07,0.561,
2012-10,0.562,
2013-01,0.567,
2013-04,0.576,
2013-07,0.572,
2013-10,0.529,
2014-01,0.520,
2014-04,0.504,
2014-07,0.501,
