"",BBK01.OEXB18U,BBK01.OEXB18U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:28,
2002-01,0.056,
2002-04,0.061,
2002-07,0.068,
2002-10,0.067,
2003-01,0.066,
2003-04,0.070,
2003-07,0.069,
2003-10,0.062,
2004-01,0.064,
2004-04,0.061,
2004-07,0.062,
2004-10,0.059,
2005-01,0.057,
2005-04,0.061,
2005-07,0.059,
2005-10,0.057,
2006-01,0.056,
2006-04,0.059,
2006-07,0.057,
2006-10,0.058,
2007-01,0.058,
2007-04,0.058,
2007-07,0.059,
2007-10,0.060,
2008-01,0.047,
2008-04,0.047,
2008-07,0.048,
2008-10,0.060,
2009-01,0.058,
2009-04,0.052,
2009-07,0.060,
2009-10,0.056,
2010-01,0.059,
2010-04,0.057,
2010-07,0.059,
2010-10,0.053,
2011-01,0.053,
2011-04,0.049,
2011-07,0.051,
2011-10,0.046,
2012-01,0.051,
2012-04,0.048,
2012-07,0.045,
2012-10,0.049,
2013-01,0.041,
2013-04,0.042,
2013-07,0.043,
2013-10,0.040,
2014-01,0.039,
2014-04,0.048,
2014-07,0.047,
