"",BBK01.OEAC07I,BBK01.OEAC07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:12,
2002-01,1.099,
2002-04,1.184,
2002-07,1.161,
2002-10,1.079,
2003-01,0.873,
2003-04,0.877,
2003-07,0.820,
2003-10,0.841,
2004-01,0.861,
2004-04,0.867,
2004-07,0.836,
2004-10,0.668,
2005-01,0.717,
2005-04,0.755,
2005-07,0.732,
2005-10,0.719,
2006-01,0.978,
2006-04,0.822,
2006-07,0.963,
2006-10,0.922,
2007-01,0.913,
2007-04,0.927,
2007-07,0.968,
2007-10,1.013,
2008-01,1.074,
2008-04,1.184,
2008-07,1.181,
2008-10,1.013,
2009-01,1.089,
2009-04,1.082,
2009-07,1.412,
2009-10,1.403,
2010-01,1.379,
2010-04,1.431,
2010-07,1.363,
2010-10,1.373,
2011-01,1.627,
2011-04,1.382,
2011-07,1.411,
2011-10,1.486,
2012-01,1.536,
2012-04,1.599,
2012-07,1.631,
2012-10,1.692,
2013-01,1.692,
2013-04,1.700,
2013-07,1.741,
2013-10,1.927,
2014-01,1.907,
2014-04,1.915,
2014-07,1.905,
