"",BBFN1.M.DE.N.1.L.SE.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SE.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:25,
1982-09,0.004,
1982-10,0.005,
1982-11,0.004,
1982-12,0.005,
1983-01,0.004,
1983-02,0.003,
1983-03,0.003,
1983-04,0.003,
1983-05,0.004,
1983-06,0.002,
1983-07,0.002,
1983-08,0.004,
1983-09,0.004,
1983-10,0.004,
1983-11,0.004,
1983-12,0.004,
1984-01,0.007,
1984-02,0.007,
1984-03,0.010,
1984-04,0.011,
1984-05,0.014,
1984-06,0.016,
1984-07,0.016,
1984-08,0.016,
1984-09,0.016,
1984-10,0.017,
1984-11,0.016,
1984-12,0.016,
1985-01,0.016,
1985-02,0.017,
1985-03,0.017,
1985-04,0.016,
1985-05,0.016,
1985-06,0.015,
1985-07,0.015,
1985-08,0.030,
1985-09,0.032,
1985-10,0.036,
1985-11,0.035,
1985-12,0.035,
1986-01,0.035,
1986-02,0.035,
1986-03,0.035,
1986-04,0.043,
1986-05,0.043,
1986-06,0.048,
1986-07,0.048,
1986-08,0.048,
1986-09,0.048,
1986-10,0.048,
1986-11,0.043,
1986-12,0.050,
1987-01,0.050,
1987-02,0.050,
1987-03,0.049,
1987-04,0.049,
1987-05,0.049,
1987-06,0.049,
1987-07,0.049,
1987-08,0.048,
1987-09,0.048,
1987-10,0.048,
1987-11,0.048,
1987-12,0.047,
1988-01,0.042,
1988-02,0.048,
1988-03,0.049,
1988-04,0.164,
1988-05,0.167,
1988-06,0.167,
1988-07,0.171,
1988-08,0.173,
1988-09,0.173,
1988-10,0.173,
1988-11,0.173,
1988-12,0.166,
1989-01,0.168,
1989-02,0.178,
1989-03,0.186,
1989-04,0.185,
1989-05,0.184,
1989-06,0.184,
1989-07,0.183,
1989-08,0.177,
1989-09,0.065,
1989-10,0.065,
1989-11,0.065,
1989-12,0.066,
1990-01,0.076,
1990-02,0.076,
1990-03,0.085,
1990-04,0.130,
1990-05,0.129,
1990-06,0.130,
1990-07,0.130,
1990-08,0.141,
1990-09,0.140,
1990-10,0.144,
1990-11,0.145,
1990-12,0.142,
1991-01,0.142,
1991-02,0.189,
1991-03,0.178,
1991-04,0.178,
1991-05,0.167,
1991-06,0.162,
1991-07,0.161,
1991-08,0.151,
1991-09,0.150,
1991-10,0.108,
1991-11,0.125,
1991-12,0.123,
1992-01,0.117,
1992-02,0.138,
1992-03,0.137,
1992-04,0.137,
1992-05,0.125,
1992-06,0.119,
1992-07,0.122,
1992-08,0.127,
1992-09,0.157,
1992-10,0.156,
1992-11,0.217,
1992-12,0.215,
1993-01,0.213,
1993-02,0.213,
1993-03,0.213,
1993-04,0.214,
1993-05,0.211,
1993-06,0.211,
1993-07,0.200,
1993-08,0.195,
1993-09,0.207,
1993-10,0.196,
1993-11,0.192,
1993-12,0.242,
1994-01,0.240,
1994-02,0.237,
1994-03,0.234,
1994-04,0.233,
1994-05,0.237,
1994-06,0.209,
1994-07,0.204,
1994-08,0.206,
1994-09,0.144,
1994-10,0.145,
1994-11,0.145,
1994-12,.,No value available
1995-01,0.187,
1995-02,0.184,
1995-03,0.179,
1995-04,0.159,
1995-05,0.120,
1995-06,0.120,
1995-07,0.115,
1995-08,0.114,
1995-09,0.110,
1995-10,0.103,
1995-11,0.104,
1995-12,0.103,
1996-01,0.177,
1996-02,0.125,
1996-03,0.125,
1996-04,0.125,
1996-05,0.121,
1996-06,0.122,
1996-07,0.096,
1996-08,0.096,
1996-09,0.096,
1996-10,0.095,
1996-11,0.097,
1996-12,0.097,
1997-01,0.097,
1997-02,0.094,
1997-03,0.102,
1997-04,0.101,
1997-05,0.100,
1997-06,0.100,
1997-07,0.100,
1997-08,0.071,
1997-09,0.071,
1997-10,0.074,
1997-11,0.072,
1997-12,0.072,
1998-01,0.038,
1998-02,0.038,
1998-03,0.038,
1998-04,0.042,
1998-05,0.037,
1998-06,0.037,
1998-07,0.037,
1998-08,0.037,
1998-09,0.037,
1998-10,0.037,
1998-11,0.038,
1998-12,0.038,
1999-01,0.038,
1999-02,0.038,
1999-03,0.038,
1999-04,0.038,
1999-05,0.036,
1999-06,0.036,
1999-07,0.036,
1999-08,0.036,
1999-09,0.037,
1999-10,0.036,
1999-11,.,No value available
1999-12,0.088,
2000-01,0.080,
2000-02,0.072,
2000-03,0.076,
2000-04,0.076,
2000-05,0.076,
2000-06,0.084,
2000-07,0.084,
2000-08,0.084,
2000-09,0.084,
2000-10,0.050,
2000-11,.,No value available
2000-12,.,No value available
2001-01,.,No value available
2001-02,0.073,
2001-03,0.073,
2001-04,0.115,
2001-05,0.106,
2001-06,0.063,
2001-07,0.054,
2001-08,0.043,
2001-09,0.265,
2001-10,0.264,
2001-11,0.417,
2001-12,0.424,
2002-01,0.558,
2002-02,0.574,
2002-03,0.585,
2002-04,0.593,
2002-05,0.597,
2002-06,0.607,
2002-07,0.607,
2002-08,0.606,
2002-09,0.606,
2002-10,0.606,
2002-11,0.606,
2002-12,0.594,
2003-01,0.594,
2003-02,0.592,
2003-03,.,No value available
2003-04,.,No value available
2003-05,.,No value available
2003-06,.,No value available
2003-07,.,No value available
2003-08,.,No value available
2003-09,.,No value available
2003-10,.,No value available
2003-11,0.218,
2003-12,0.218,
2004-01,0.212,
2004-02,.,No value available
2004-03,.,No value available
2004-04,.,No value available
2004-05,.,No value available
2004-06,0.149,
2004-07,.,No value available
2004-08,.,No value available
2004-09,.,No value available
2004-10,.,No value available
2004-11,.,No value available
2004-12,.,No value available
2005-01,.,No value available
2005-02,.,No value available
2005-03,.,No value available
2005-04,.,No value available
2005-05,.,No value available
2005-06,.,No value available
2005-07,.,No value available
2005-08,0.201,
2005-09,0.187,
2005-10,0.201,
2005-11,0.187,
2005-12,0.187,
2006-01,0.183,
2006-02,0.073,
2006-03,0.073,
2006-04,0.073,
2006-05,0.073,
2006-06,0.073,
2006-07,0.073,
2006-08,.,No value available
2006-09,0.128,
2006-10,0.130,
2006-11,0.128,
2006-12,0.128,
2007-01,0.128,
2007-02,0.180,
2007-03,0.180,
2007-04,0.200,
2007-05,0.190,
2007-06,0.190,
2007-07,.,No value available
2007-08,.,No value available
2007-09,.,No value available
2007-10,.,No value available
2007-11,.,No value available
2007-12,.,No value available
2008-01,.,No value available
2008-02,0.282,
2008-03,0.283,
2008-04,0.283,
2008-05,0.508,
2008-06,0.508,
2008-07,0.280,
2008-08,0.281,
2008-09,0.281,
2008-10,0.281,
2008-11,0.281,
2008-12,0.281,
2009-01,.,No value available
2009-02,.,No value available
2009-03,.,No value available
2009-04,.,No value available
2009-05,.,No value available
2009-06,.,No value available
2009-07,.,No value available
2009-08,0.102,
2009-09,0.100,
2009-10,0.086,
2009-11,0.086,
2009-12,0.186,
2010-01,0.186,
2010-02,0.189,
2010-03,0.189,
2010-04,0.190,
2010-05,0.190,
2010-06,0.187,
2010-07,0.186,
2010-08,0.185,
2010-09,0.176,
2010-10,0.168,
2010-11,0.168,
2010-12,0.169,
2011-01,0.170,
2011-02,0.170,
2011-03,0.169,
2011-04,0.169,
2011-05,0.168,
2011-06,0.166,
2011-07,0.151,
2011-08,0.230,
2011-09,0.230,
2011-10,0.227,
2011-11,0.224,
2011-12,0.196,
2012-01,0.196,
2012-02,0.195,
2012-03,0.195,
2012-04,0.195,
2012-05,.,No value available
2012-06,.,No value available
2012-07,.,No value available
2012-08,.,No value available
2012-09,.,No value available
2012-10,.,No value available
2012-11,.,No value available
2012-12,.,No value available
2013-01,.,No value available
2013-02,.,No value available
2013-03,.,No value available
2013-04,.,No value available
2013-05,.,No value available
2013-06,.,No value available
2013-07,0.151,
2013-08,0.149,
2013-09,0.151,
2013-10,0.147,
2013-11,0.146,
2013-12,0.144,
2014-01,0.308,
2014-02,0.307,
2014-03,0.308,
2014-04,0.308,
2014-05,0.307,
2014-06,0.307,
2014-07,0.573,
2014-08,0.571,
2014-09,0.571,
2014-10,0.574,
2014-11,0.572,
2014-12,0.572,
