"",BBK01.OEAH72R,BBK01.OEAH72R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:57,
2002-01,0.251,
2002-04,0.255,
2002-07,0.243,
2002-10,0.288,
2003-01,0.215,
2003-04,0.220,
2003-07,0.234,
2003-10,0.261,
2004-01,0.216,
2004-04,0.277,
2004-07,0.276,
2004-10,0.303,
2005-01,0.288,
2005-04,0.304,
2005-07,0.321,
2005-10,0.362,
2006-01,0.301,
2006-04,0.322,
2006-07,0.303,
2006-10,0.307,
2007-01,0.304,
2007-04,0.283,
2007-07,0.364,
2007-10,0.264,
2008-01,0.220,
2008-04,0.302,
2008-07,0.254,
2008-10,0.377,
2009-01,0.568,
2009-04,0.695,
2009-07,0.734,
2009-10,0.745,
2010-01,0.715,
2010-04,0.742,
2010-07,0.757,
2010-10,0.768,
2011-01,0.679,
2011-04,0.662,
2011-07,0.671,
2011-10,0.567,
2012-01,0.391,
2012-04,0.484,
2012-07,0.447,
2012-10,0.471,
2013-01,0.408,
2013-04,0.414,
2013-07,0.391,
2013-10,0.399,
2014-01,0.375,
2014-04,0.431,
2014-07,0.428,
