"",BBK01.OEAE09L,BBK01.OEAE09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:07,
2002-01,11.095,
2002-04,11.179,
2002-07,10.876,
2002-10,11.789,
2003-01,12.644,
2003-04,13.516,
2003-07,13.154,
2003-10,13.364,
2004-01,13.658,
2004-04,13.280,
2004-07,13.399,
2004-10,12.774,
2005-01,13.011,
2005-04,12.762,
2005-07,13.174,
2005-10,13.064,
2006-01,13.529,
2006-04,13.383,
2006-07,13.537,
2006-10,13.161,
2007-01,12.962,
2007-04,13.456,
2007-07,14.021,
2007-10,14.898,
2008-01,15.362,
2008-04,15.541,
2008-07,16.155,
2008-10,13.192,
2009-01,10.206,
2009-04,9.878,
2009-07,9.152,
2009-10,8.618,
2010-01,8.812,
2010-04,14.757,
2010-07,9.187,
2010-10,9.503,
2011-01,9.283,
2011-04,8.835,
2011-07,8.571,
2011-10,8.361,
2012-01,8.510,
2012-04,8.255,
2012-07,8.350,
2012-10,8.176,
2013-01,7.846,
2013-04,7.551,
2013-07,7.842,
2013-10,7.691,
2014-01,7.455,
2014-04,6.926,
2014-07,6.691,
