"",BBK01.OEAC08M,BBK01.OEAC08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:21,
2002-01,1.987,
2002-04,2.236,
2002-07,2.294,
2002-10,2.223,
2003-01,2.507,
2003-04,2.544,
2003-07,2.662,
2003-10,2.562,
2004-01,2.714,
2004-04,3.085,
2004-07,3.043,
2004-10,2.575,
2005-01,3.291,
2005-04,3.879,
2005-07,1.893,
2005-10,2.147,
2006-01,2.205,
2006-04,2.569,
2006-07,2.352,
2006-10,2.569,
2007-01,2.389,
2007-04,2.771,
2007-07,4.437,
2007-10,4.201,
2008-01,4.009,
2008-04,3.905,
2008-07,4.025,
2008-10,3.632,
2009-01,4.436,
2009-04,4.504,
2009-07,4.507,
2009-10,4.728,
2010-01,6.179,
2010-04,5.723,
2010-07,5.511,
2010-10,6.791,
2011-01,6.120,
2011-04,7.729,
2011-07,6.524,
2011-10,7.342,
2012-01,6.012,
2012-04,5.942,
2012-07,6.329,
2012-10,6.242,
2013-01,6.821,
2013-04,6.874,
2013-07,7.112,
2013-10,6.846,
2014-01,7.061,
2014-04,6.780,
2014-07,7.705,
