"",BBSF2.M.1.P.00000.IMM01.I.F.BGS.U201.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.BGS.U201.00000.000000.Z01.00_FLAGS
"","Public funds / Real estate funds / Developed properties / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:32,
2009-09,26606,
2009-10,26639,
2009-11,26737,
2009-12,27325,
2010-01,27409,
2010-02,27531,
2010-03,27640,
2010-04,27680,
2010-05,27817,
2010-06,27440,
2010-07,27570,
2010-08,27636,
2010-09,27463,
2010-10,27463,
2010-11,27472,
2010-12,26602,
2011-01,26524,
2011-02,26334,
2011-03,26296,
2011-04,26290,
2011-05,26170,
2011-06,26176,
2011-07,26175,
2011-08,26447,
2011-09,26355,
2011-10,26200,
2011-11,26241,
2011-12,25393,
2012-01,25369,
2012-02,25262,
2012-03,25324,
2012-04,24954,
2012-05,24719,
2012-06,24709,
2012-07,24372,
2012-08,24295,
2012-09,24264,
2012-10,24164,
2012-11,23947,
2012-12,23550,
2013-01,23180,
2013-02,23079,
2013-03,22779,
2013-04,22529,
2013-05,22697,
2013-06,22205,
2013-07,21811,
2013-08,21653,
2013-09,20942,
2013-10,20600,
2013-11,20561,
2013-12,20461,
2014-01,20375,
2014-02,20002,
2014-03,20447,
2014-04,20288,
2014-05,20156,
2014-06,20069,
2014-07,19767,
2014-08,19661,
2014-09,19572,
2014-10,19123,
2014-11,18787,
