"",BBFB1.Q.N.DE.S1.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:22,
1991-01,795.936,
1991-04,919.704,
1991-07,1124.126,
1991-10,1092.233,
1992-01,923.193,
1992-04,1004.446,
1992-07,980.924,
1992-10,1184.468,
1993-01,975.747,
1993-04,1143.088,
1993-07,1199.963,
1993-10,1222.533,
1994-01,1095.526,
1994-04,1179.858,
1994-07,1207.990,
1994-10,1188.370,
1995-01,1256.278,
1995-04,1263.240,
1995-07,1415.897,
1995-10,1534.524,
1996-01,1172.757,
1996-04,1331.299,
1996-07,1459.288,
1996-10,1686.155,
1997-01,1454.281,
1997-04,1616.801,
1997-07,1955.767,
1997-10,1765.712,
1998-01,1537.711,
1998-04,1760.810,
1998-07,1911.909,
1998-10,1739.608,
1999-01,1410.677,
1999-04,1728.154,
1999-07,1846.621,
1999-10,2120.566,
2000-01,1655.176,
2000-04,1838.355,
2000-07,2128.898,
2000-10,2387.197,
2001-01,1852.994,
2001-04,2185.497,
2001-07,2260.148,
2001-10,2339.688,
2002-01,2273.184,
2002-04,2450.576,
2002-07,2623.323,
2002-10,2674.376,
2003-01,2450.379,
2003-04,2331.918,
2003-07,2413.930,
2003-10,2671.433,
2004-01,2402.104,
2004-04,2831.941,
2004-07,2779.280,
2004-10,3107.085,
2005-01,2818.956,
2005-04,3310.232,
2005-07,3710.142,
2005-10,3759.291,
2006-01,3485.408,
2006-04,3924.724,
2006-07,4067.047,
2006-10,4547.361,
2007-01,3752.772,
2007-04,4137.995,
2007-07,4361.179,
2007-10,4597.007,
2008-01,4579.198,
2008-04,4658.236,
2008-07,4946.407,
2008-10,5158.988,
2009-01,4620.851,
2009-04,4704.824,
2009-07,4537.830,
2009-10,4944.698,
2010-01,4483.496,
2010-04,5404.695,
2010-07,5610.068,
2010-10,5939.647,
2011-01,5007.869,
2011-04,5436.045,
2011-07,5771.277,
2011-10,6308.922,
2012-01,5547.912,
2012-04,5952.839,
2012-07,6413.892,
2012-10,6510.747,
2013-01,5559.876,
2013-04,6565.157,
2013-07,6756.391,
2013-10,7125.249,
2014-01,6084.807,Provisional value
2014-04,6865.769,Provisional value
2014-07,7019.967,Provisional value
