"",BBK01.OXA8J1,BBK01.OXA8J1_FLAGS
"",Loans to households domiciled in other euro-area member states with an original maturity of more than one year and with a remaining maturity of more than one year and interest rate reset period within the next 12 months - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:23,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,1.927,
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,1.900,
2010-10,-,Nothing exists
2010-11,-,Nothing exists
2010-12,1.408,
2011-01,-,Nothing exists
2011-02,-,Nothing exists
2011-03,1.387,
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,1.337,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,1.356,
2011-10,-,Nothing exists
2011-11,-,Nothing exists
2011-12,1.387,
2012-01,-,Nothing exists
2012-02,-,Nothing exists
2012-03,1.384,
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,1.366,
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,1.319,
2012-10,-,Nothing exists
2012-11,-,Nothing exists
2012-12,1.375,
2013-01,-,Nothing exists
2013-02,-,Nothing exists
2013-03,1.302,
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,0.372,
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,0.347,
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,0.330,
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,0.330,
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,0.312,
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,0.310,
2014-10,-,Nothing exists
2014-11,-,Nothing exists
2014-12,0.489,Provisional value
