"",BBSF2.M.1.T.00000.AKT01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.AKT01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Equity funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:16,
2009-09,6101,
2009-10,6032,
2009-11,5638,
2009-12,5312,
2010-01,5414,
2010-02,5281,
2010-03,4758,
2010-04,4554,
2010-05,4725,
2010-06,5035,
2010-07,5217,
2010-08,5877,
2010-09,5069,
2010-10,4115,
2010-11,4218,
2010-12,3692,
2011-01,5118,
2011-02,5323,
2011-03,5047,
2011-04,5728,
2011-05,5949,
2011-06,5926,
2011-07,5298,
2011-08,5364,
2011-09,5614,
2011-10,5499,
2011-11,5576,
2011-12,5167,
2012-01,5667,
2012-02,5677,
2012-03,5754,
2012-04,5891,
2012-05,5937,
2012-06,6253,
2012-07,5404,
2012-08,5537,
2012-09,5216,
2012-10,5502,
2012-11,4934,
2012-12,4456,
2013-01,5132,
2013-02,4099,
2013-03,4233,
2013-04,4469,
2013-05,4404,
2013-06,4220,
2013-07,4804,
2013-08,4395,
2013-09,4191,
2013-10,4100,
2013-11,4136,
2013-12,4407,
2014-01,3931,
2014-02,4264,
2014-03,4496,
2014-04,4324,
2014-05,5193,
2014-06,4975,
2014-07,5134,
2014-08,5306,
2014-09,5706,
2014-10,4905,
2014-11,5798,
