"",BBK01.OEHK03G,BBK01.OEHK03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:35,
2002-01,1.166,
2002-04,1.166,
2002-07,1.130,
2002-10,1.162,
2003-01,1.156,
2003-04,1.151,
2003-07,1.082,
2003-10,1.017,
2004-01,0.958,
2004-04,0.916,
2004-07,0.906,
2004-10,0.880,
2005-01,0.807,
2005-04,0.779,
2005-07,0.882,
2005-10,0.938,
2006-01,0.897,
2006-04,0.917,
2006-07,0.940,
2006-10,0.977,
2007-01,0.967,
2007-04,1.000,
2007-07,1.098,
2007-10,1.281,
2008-01,1.301,
2008-04,1.363,
2008-07,1.468,
2008-10,1.631,
2009-01,1.200,
2009-04,1.011,
2009-07,0.836,
2009-10,0.741,
2010-01,0.668,
2010-04,0.619,
2010-07,0.631,
2010-10,0.632,
2011-01,0.688,
2011-04,0.704,
2011-07,0.731,
2011-10,0.785,
2012-01,0.705,
2012-04,0.647,
2012-07,0.508,
2012-10,0.450,
2013-01,0.438,
2013-04,0.407,
2013-07,0.404,
2013-10,0.408,
2014-01,0.420,
2014-04,0.413,
2014-07,0.411,
