"",BBFN1.M.DE.N.1.A.W1.S1P.H2.T.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H2.T.N000.EUR.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from advance payments made / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:08,
1974-12,0.594,
1975-01,0.548,
1975-02,0.562,
1975-03,0.604,
1975-04,0.732,
1975-05,0.711,
1975-06,0.842,
1975-07,0.843,
1975-08,0.873,
1975-09,0.937,
1975-10,0.942,
1975-11,0.937,
1975-12,0.939,
1976-01,0.924,
1976-02,0.912,
1976-03,0.961,
1976-04,0.970,
1976-05,0.992,
1976-06,1.059,
1976-07,1.123,
1976-08,1.144,
1976-09,1.168,
1976-10,1.166,
1976-11,1.161,
1976-12,1.119,
1977-01,1.061,
1977-02,1.012,
1977-03,1.065,
1977-04,1.135,
1977-05,1.134,
1977-06,1.135,
1977-07,1.081,
1977-08,1.071,
1977-09,1.090,
1977-10,1.042,
1977-11,1.018,
1977-12,0.967,
1978-01,0.984,
1978-02,1.031,
1978-03,1.111,
1978-04,1.139,
1978-05,1.103,
1978-06,1.174,
1978-07,1.156,
1978-08,1.168,
1978-09,1.081,
1978-10,1.031,
1978-11,1.047,
1978-12,1.037,
1979-01,1.040,
1979-02,1.092,
1979-03,1.093,
1979-04,1.149,
1979-05,1.293,
1979-06,1.255,
1979-07,1.295,
1979-08,1.337,
1979-09,1.276,
1979-10,1.353,
1979-11,1.320,
1979-12,1.253,
1980-01,1.301,
1980-02,1.329,
1980-03,1.383,
1980-04,1.432,
1980-05,1.452,
1980-06,1.449,
1980-07,1.443,
1980-08,1.484,
1980-09,1.470,
1980-10,1.487,
1980-11,1.491,
1980-12,1.448,
1981-01,1.516,
1981-02,1.557,
1981-03,1.637,
1981-04,1.655,
1981-05,1.748,
1981-06,1.686,
1981-07,1.760,
1981-08,1.778,
1981-09,1.770,
1981-10,1.784,
1981-11,1.784,
1981-12,1.749,
1982-01,1.816,
1982-02,1.727,
1982-03,1.804,
1982-04,1.740,
1982-05,1.785,
1982-06,1.810,
1982-07,1.941,
1982-08,1.948,
1982-09,1.958,
1982-10,1.904,
1982-11,1.857,
1982-12,1.684,
1983-01,1.662,
1983-02,1.704,
1983-03,1.717,
1983-04,1.726,
1983-05,1.762,
1983-06,1.768,
