"",BBFB1.Q.N.DE.U3.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:10,
1991-01,718.139,
1991-04,168.541,
1991-07,-258.383,
1991-10,-1363.100,
1992-01,-766.724,
1992-04,-1295.658,
1992-07,-933.216,
1992-10,-1015.883,
1993-01,417.571,
1993-04,-699.863,
1993-07,-1416.615,
1993-10,-1336.647,
1994-01,-1314.099,
1994-04,-1007.855,
1994-07,-2230.625,
1994-10,-766.845,
1995-01,-751.862,
1995-04,301.472,
1995-07,43.760,
1995-10,2248.032,
1996-01,-691.048,
1996-04,-1688.531,
1996-07,-1272.872,
1996-10,1794.346,
1997-01,-2476.855,
1997-04,657.374,
1997-07,-1119.368,
1997-10,2863.714,
1998-01,-3265.333,
1998-04,1122.314,
1998-07,-1889.656,
1998-10,1157.003,
1999-01,-2346.058,
1999-04,-2201.067,
1999-07,-3551.536,
1999-10,-89.076,
2000-01,-4563.734,
2000-04,-4928.575,
2000-07,-5848.655,
2000-10,-2583.973,
2001-01,-946.342,
2001-04,-837.327,
2001-07,690.786,
2001-10,5249.448,
2002-01,1029.479,
2002-04,-324.928,
2002-07,3741.055,
2002-10,6934.702,
2003-01,3192.469,
2003-04,-121.684,
2003-07,1547.304,
2003-10,7656.222,
2004-01,3359.390,
2004-04,3856.069,
2004-07,2374.377,
2004-10,9408.948,
2005-01,1667.119,
2005-04,3147.814,
2005-07,3495.754,
2005-10,6323.865,
2006-01,2749.553,
2006-04,5422.660,
2006-07,4092.931,
2006-10,13473.537,
2007-01,7281.173,
2007-04,4167.649,
2007-07,8922.475,
2007-10,15564.339,
2008-01,10600.737,
2008-04,5426.999,
2008-07,7127.760,
2008-10,9718.765,
2009-01,4088.090,
2009-04,1791.193,
2009-07,5752.424,
2009-10,9132.563,
2010-01,3486.043,
2010-04,5529.957,
2010-07,6345.341,
2010-10,13337.307,
2011-01,6989.936,
2011-04,6609.901,
2011-07,7061.214,
2011-10,13356.610,
2012-01,7171.658,
2012-04,9022.407,
2012-07,11321.054,
2012-10,14389.600,
2013-01,5660.908,
2013-04,7815.890,
2013-07,7008.776,
2013-10,13060.757,
2014-01,7049.855,Provisional value
2014-04,6959.026,Provisional value
2014-07,13119.131,Provisional value
