"",BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:35,
1991-01,-6.078,
1991-04,3.378,
1991-07,10.756,
1991-10,17.199,
1992-01,7.858,
1992-04,4.504,
1992-07,11.827,
1992-10,19.300,
1993-01,14.578,
1993-04,15.265,
1993-07,13.789,
1993-10,6.257,
1994-01,-5.568,
1994-04,-68.060,
1994-07,-9.889,
1994-10,64.236,
1995-01,21.311,
1995-04,-8.678,
1995-07,12.984,
1995-10,56.540,
1996-01,-6.010,
1996-04,2.614,
1996-07,22.234,
1996-10,212.732,
1997-01,3.296,
1997-04,4.498,
1997-07,-10.932,
1997-10,76.540,
1998-01,-42.528,
1998-04,-31.094,
1998-07,-49.951,
1998-10,-74.985,
1999-01,-18.125,
1999-04,21.760,
1999-07,15.886,
1999-10,-30.291,
2000-01,-70.355,
2000-04,-8.064,
2000-07,-8.790,
2000-10,-85.525,
2001-01,18.691,
2001-04,-10.194,
2001-07,-1.198,
2001-10,-70.697,
2002-01,-61.275,
2002-04,-61.730,
2002-07,64.444,
2002-10,34.652,
2003-01,-61.916,
2003-04,-17.070,
2003-07,-13.176,
2003-10,6.755,
2004-01,-16.828,
2004-04,-21.761,
2004-07,14.614,
2004-10,-54.599,
2005-01,-41.012,
2005-04,-34.572,
2005-07,72.396,
2005-10,802.506,
2006-01,-1.445,
2006-04,-200.309,
2006-07,-42.552,
2006-10,26.696,
2007-01,-1.200,
2007-04,-0.851,
2007-07,-33.623,
2007-10,-6.285,
2008-01,-246.753,
2008-04,-37.440,
2008-07,-137.708,
2008-10,909.071,
2009-01,203.795,
2009-04,255.465,
2009-07,141.227,
2009-10,106.802,
2010-01,212.383,
2010-04,167.459,
2010-07,-5.533,
2010-10,118.916,
2011-01,296.038,
2011-04,380.097,
2011-07,399.017,
2011-10,318.043,
2012-01,1.842,
2012-04,320.845,
2012-07,117.117,
2012-10,175.060,
2013-01,348.582,
2013-04,488.111,
2013-07,201.297,
2013-10,57.000,
2014-01,65.270,Provisional value
2014-04,96.645,Provisional value
2014-07,162.300,Provisional value
2014-10,305.355,Provisional value
