"",BBFB1.Q.N.DE.TW.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.TW.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"","Financial account (excl. Reserve assets) / Net domestic investment abroad / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:21,
1991-01,13.530,
1991-04,-2.339,
1991-07,48.527,
1991-10,8.968,
1992-01,-13.700,
1992-04,106.793,
1992-07,129.170,
1992-10,-138.343,
1993-01,-47.933,
1993-04,14.129,
1993-07,20.335,
1993-10,24.025,
1994-01,-5.377,
1994-04,41.452,
1994-07,100.062,
1994-10,-20.989,
1995-01,228.006,
1995-04,-174.218,
1995-07,117.041,
1995-10,49.163,
1996-01,18.317,
1996-04,283.368,
1996-07,-78.532,
1996-10,34.554,
1997-01,136.685,
1997-04,422.468,
1997-07,20.645,
1997-10,655.751,
1998-01,-650.267,
1998-04,129.226,
1998-07,8.502,
1998-10,31.347,
1999-01,-19.167,
1999-04,37.616,
1999-07,151.406,
1999-10,48.821,
2000-01,-20.283,
2000-04,478.691,
2000-07,-260.591,
2000-10,-288.716,
2001-01,170.297,
2001-04,-134.365,
2001-07,50.753,
2001-10,-206.621,
2002-01,204.066,
2002-04,126.287,
2002-07,-124.675,
2002-10,-73.737,
2003-01,-124.597,
2003-04,8.232,
2003-07,-101.318,
2003-10,-78.716,
2004-01,363.527,
2004-04,203.337,
2004-07,249.551,
2004-10,-264.887,
2005-01,425.260,
2005-04,180.623,
2005-07,139.060,
2005-10,69.409,
2006-01,-324.139,
2006-04,122.302,
2006-07,203.199,
2006-10,-96.701,
2007-01,29.633,
2007-04,323.059,
2007-07,295.590,
2007-10,-16.970,
2008-01,-65.219,
2008-04,17.110,
2008-07,52.990,
2008-10,-861.018,
2009-01,-136.855,
2009-04,42.874,
2009-07,697.733,
2009-10,-455.917,
2010-01,1425.816,
2010-04,436.169,
2010-07,4174.341,
2010-10,-1584.000,
2011-01,907.660,
2011-04,-1780.571,
2011-07,-1501.865,
2011-10,507.796,
2012-01,-1427.826,
2012-04,523.083,
2012-07,-679.682,
2012-10,45.777,
2013-01,-57.345,
2013-04,388.630,
2013-07,105.154,
2013-10,362.210,
2014-01,-91.578,Provisional value
2014-04,707.331,Provisional value
2014-07,-245.020,Provisional value
2014-10,35.761,Provisional value
