"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.AT.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.AT.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Austria / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:18,
2009-09,3678,
2009-10,3655,
2009-11,3588,
2009-12,3572,
2010-01,3380,
2010-02,3296,
2010-03,3339,
2010-04,3282,
2010-05,3212,
2010-06,3203,
2010-07,3164,
2010-08,3287,
2010-09,3271,
2010-10,3330,
2010-11,3393,
2010-12,3339,
2011-01,3438,
2011-02,3557,
2011-03,3387,
2011-04,3344,
2011-05,3346,
2011-06,3284,
2011-07,3330,
2011-08,3396,
2011-09,3452,
2011-10,3424,
2011-11,3319,
2011-12,3370,
2012-01,3228,
2012-02,3565,
2012-03,3621,
2012-04,3725,
2012-05,3916,
2012-06,3992,
2012-07,4097,
2012-08,4153,
2012-09,4334,
2012-10,4419,
2012-11,4423,
2012-12,4487,
2013-01,4440,
2013-02,4502,
2013-03,4577,
2013-04,4818,
2013-05,4785,
2013-06,4635,
2013-07,4583,
2013-08,4537,
2013-09,4394,
2013-10,4541,
2013-11,4632,
2013-12,4708,
2014-01,4725,
2014-02,4584,
2014-03,4532,
2014-04,4607,
2014-05,4743,
2014-06,4598,
2014-07,4555,
2014-08,4565,
2014-09,4633,
2014-10,4649,
2014-11,4450,
