"",BBDE1.M.DE.Y.AEP5.A2P320000.F.C.I10.A,BBDE1.M.DE.Y.AEP5.A2P320000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, non-euro-area countries / At constant prices / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:13,
2010-01,87.3,
2010-02,89.6,
2010-03,90.6,
2010-04,96.5,
2010-05,98.8,
2010-06,98.4,
2010-07,101.4,
2010-08,104.3,
2010-09,103.9,
2010-10,105.0,
2010-11,112.1,
2010-12,107.6,
2011-01,115.2,
2011-02,108.2,
2011-03,107.7,
2011-04,102.4,
2011-05,106.8,
2011-06,108.2,
2011-07,108.0,
2011-08,107.7,
2011-09,109.4,
2011-10,108.9,
2011-11,107.5,
2011-12,106.2,
2012-01,108.5,
2012-02,113.0,
2012-03,114.1,
2012-04,115.6,
2012-05,116.7,
2012-06,112.8,
2012-07,116.2,
2012-08,113.8,
2012-09,116.1,
2012-10,118.2,
2012-11,117.5,
2012-12,118.2,
2013-01,116.5,
2013-02,120.6,
2013-03,119.5,
2013-04,120.5,
2013-05,120.3,
2013-06,120.1,
2013-07,117.7,
2013-08,122.0,
2013-09,123.4,
2013-10,123.1,
2013-11,122.4,
2013-12,125.4,
2014-01,128.7,
2014-02,124.8,
2014-03,124.9,
2014-04,122.8,
2014-05,120.6,
2014-06,124.5,
2014-07,125.9,
2014-08,118.8,
2014-09,124.7,
2014-10,131.2,
2014-11,130.0,
2014-12,131.5,Provisional value
