"",BBK01.OEHL06Q,BBK01.OEHL06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:04,
2002-01,0.606,
2002-04,0.596,
2002-07,0.584,
2002-10,0.576,
2003-01,0.556,
2003-04,0.541,
2003-07,0.530,
2003-10,0.540,
2004-01,0.539,
2004-04,0.540,
2004-07,0.532,
2004-10,0.517,
2005-01,0.480,
2005-04,0.471,
2005-07,0.457,
2005-10,0.454,
2006-01,0.443,
2006-04,0.441,
2006-07,0.438,
2006-10,0.439,
2007-01,0.419,
2007-04,0.402,
2007-07,0.400,
2007-10,0.398,
2008-01,0.398,
2008-04,0.392,
2008-07,0.432,
2008-10,0.430,
2009-01,0.410,
2009-04,0.391,
2009-07,0.365,
2009-10,0.342,
2010-01,0.339,
2010-04,0.355,
2010-07,0.368,
2010-10,0.350,
2011-01,0.345,
2011-04,0.311,
2011-07,0.296,
2011-10,0.287,
2012-01,0.278,
2012-04,0.270,
2012-07,0.261,
2012-10,0.249,
2013-01,0.222,
2013-04,0.213,
2013-07,0.195,
2013-10,0.191,
2014-01,0.187,
2014-04,0.187,
2014-07,0.161,
