"",BBK01.OELB11M,BBK01.OELB11M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:09,
2002-01,0.435,
2002-04,0.440,
2002-07,0.440,
2002-10,0.442,
2003-01,0.417,
2003-04,0.393,
2003-07,0.394,
2003-10,0.388,
2004-01,0.376,
2004-04,0.366,
2004-07,0.370,
2004-10,0.364,
2005-01,0.363,
2005-04,0.371,
2005-07,0.379,
2005-10,0.383,
2006-01,0.379,
2006-04,0.390,
2006-07,0.386,
2006-10,0.393,
2007-01,0.393,
2007-04,0.387,
2007-07,0.419,
2007-10,0.430,
2008-01,0.447,
2008-04,0.469,
2008-07,0.514,
2008-10,0.518,
2009-01,0.506,
2009-04,0.541,
2009-07,0.541,
2009-10,0.532,
2010-01,0.546,
2010-04,0.546,
2010-07,0.576,
2010-10,0.592,
2011-01,0.606,
2011-04,0.612,
2011-07,0.581,
2011-10,0.584,
2012-01,0.602,
2012-04,0.634,
2012-07,0.666,
2012-10,0.653,
2013-01,0.657,
2013-04,0.662,
2013-07,0.684,
2013-10,0.718,
2014-01,0.717,
2014-04,0.770,
2014-07,0.791,
