"",BBK01.QUA503,BBK01.QUA503_FLAGS
"",Foreign branches: Short-term loans and advances to non-residents / Slovakia / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:04,
2005-12,0.323,
2006-01,0.334,
2006-02,0.391,
2006-03,0.187,
2006-04,0.191,
2006-05,0.229,
2006-06,0.181,
2006-07,0.149,
2006-08,0.181,
2006-09,0.117,
2006-10,0.137,
2006-11,0.113,
2006-12,0.135,
2007-01,0.171,
2007-02,0.279,
2007-03,0.193,
2007-04,0.278,
2007-05,0.225,
2007-06,0.222,
2007-07,0.217,
2007-08,0.249,
2007-09,0.235,
2007-10,0.274,
2007-11,0.274,
2007-12,0.378,
2008-01,0.258,
2008-02,0.266,
2008-03,0.208,
2008-04,0.205,
2008-05,0.299,
2008-06,0.326,
2008-07,0.369,
2008-08,0.521,
2008-09,0.468,
2008-10,0.443,
2008-11,0.658,
2008-12,0.258,
2009-01,0.198,
2009-02,0.349,
2009-03,0.209,
2009-04,0.214,
2009-05,0.187,
2009-06,0.160,
2009-07,0.154,
2009-08,0.153,
2009-09,0.150,
2009-10,0.126,
2009-11,0.142,
2009-12,0.135,
2010-01,0.138,
2010-02,0.149,
2010-03,0.099,
2010-04,0.129,
2010-05,0.146,
2010-06,0.205,
2010-07,0.199,
2010-08,0.199,
2010-09,0.193,
2010-10,0.195,
2010-11,0.183,
2010-12,0.189,
2011-01,0.166,
2011-02,0.141,
2011-03,0.136,
2011-04,0.142,
2011-05,0.143,
2011-06,0.160,
2011-07,0.136,
2011-08,0.143,
2011-09,0.126,
2011-10,0.123,
2011-11,0.314,
2011-12,0.324,
2012-01,0.305,
2012-02,0.290,
2012-03,0.323,
2012-04,0.259,
2012-05,0.255,
2012-06,0.253,
2012-07,0.343,
2012-08,0.256,
2012-09,0.245,
2012-10,0.259,
2012-11,0.233,
2012-12,0.220,
2013-01,0.221,
2013-02,0.215,
2013-03,0.219,
2013-04,0.195,
2013-05,0.182,
2013-06,0.281,
2013-07,0.207,
2013-08,0.214,
2013-09,0.168,
2013-10,0.172,
2013-11,0.166,
2013-12,0.159,
2014-01,0.172,
2014-02,0.178,
2014-03,0.180,
2014-04,0.225,
2014-05,0.166,
2014-06,0.174,
2014-07,0.197,
2014-08,0.182,
2014-09,0.174,
2014-10,0.178,
2014-11,0.180,
