"",BBDA1.M.DE.N.IM.S.GP09IS02.W1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.GP09IS02.W1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Intermediate products / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:55,
2008-01,20414124,
2008-02,20393854,
2008-03,20726208,
2008-04,21861337,
2008-05,20888725,
2008-06,21922045,
2008-07,22454036,
2008-08,20089954,
2008-09,21683305,
2008-10,21978140,
2008-11,18468571,
2008-12,15170678,
2009-01,15960431,
2009-02,14808660,
2009-03,15792882,
2009-04,14986327,
2009-05,13780824,
2009-06,14766869,
2009-07,15546939,
2009-08,14416549,
2009-09,16648227,
2009-10,17477088,
2009-11,16169500,
2009-12,15205983,
2010-01,16060730,
2010-02,17038503,
2010-03,20828994,
2010-04,19486767,
2010-05,21404050,
2010-06,22629385,
2010-07,21861914,
2010-08,20582619,
2010-09,22169486,
2010-10,22464714,
2010-11,22286548,
2010-12,20388553,
2011-01,21666052,
2011-02,22323693,
2011-03,25453551,
2011-04,23465507,
2011-05,24869624,
2011-06,24679354,
2011-07,23978472,
2011-08,23666853,
2011-09,23884682,
2011-10,23124341,
2011-11,22631287,
2011-12,20036725,
2012-01,21649742,
2012-02,22871817,
2012-03,24531827,
2012-04,21917664,
2012-05,23491435,
2012-06,23449128,
2012-07,23476790,
2012-08,21807797,
2012-09,21899746,
2012-10,23413847,
2012-11,21066330,
2012-12,17343729,
2013-01,22315170,
2013-02,20942114,
2013-03,22461664,
2013-04,22823656,
2013-05,22115226,
2013-06,22433341,
2013-07,23131708,
2013-08,20655365,
2013-09,21953173,
2013-10,23068979,
2013-11,21488201,
2013-12,17854479,
2014-01,23363872,
2014-02,23338867,
2014-03,23698141,
2014-04,23946316,
2014-05,23098264,
2014-06,23848301,
2014-07,24666113,
2014-08,22265488,
2014-09,24724022,
2014-10,25144757,
2014-11,23487076,
2014-12,20396981,
